Input1,Input2,Input3,Input4,Input5,Output
28640.282187637597,-55732.092624314995,38135.30284425222,-52883.01457256277,-21624.528366932333,19.200000762939453
66306.42089980454,-182971.7248247916,25664.986617337167,-30031.520676935957,95255.47215186548,19.200000762939453
33844.389473022675,-554717.5710541641,483450.6924345279,109562.21726640181,995621.3012042389,19.200000762939453
53255.239832837215,-355481.96240236005,385457.35216258926,190988.51975003153,610864.2382557418,19.200000762939453
95479.47665750116,-323983.1877968007,580584.7852654135,24487.156752034367,1112649.3983354669,19.200000762939453
42670.42919021863,-200857.87161189283,557901.8972543117,-88257.3463645424,752291.0233264456,19.200000762939453
48550.910781233186,-367602.50878822134,438529.01430336066,225549.50242407646,683349.2127312738,19.200000762939453
72330.26745871101,-623778.4440931778,903430.5402574311,-810458.9642653996,1241411.8150396373,19.200000762939453
49476.49799304688,-260808.15627763898,333070.79868074186,-203871.38491153452,203412.54649363807,19.200000762939453
44712.69896979828,-426238.27771675395,465533.2012987937,-761306.5713923852,494572.44516321394,19.200000762939453
6024.368740174497,-74862.44115430943,33515.510169530244,-91396.8903120868,82980.33547061305,19.200000762939453
49649.25095537157,-268676.0353774427,-174904.41591812982,-31263.476473714574,320555.4161400883,28.299999237060547
16613.44311652894,-100856.04385641814,-140350.9040582422,-48673.45814030076,117001.39651420139,28.299999237060547
35288.29403723645,-133354.7357967354,-54813.72486794641,-32051.081418486425,51522.91742154217,28.299999237060547
48360.45190617374,-219130.94348946612,-176943.92305270067,50728.87477242605,218695.19313535397,28.299999237060547
13592.492134155205,-179921.07702073094,27671.104320128754,-18805.724176217504,110112.3083708116,28.299999237060547
19542.54571351361,-138381.0335581845,-16413.80897633659,-47591.78268718274,44653.65315447277,28.299999237060547
16090.148374882141,-99631.68262521987,-49759.01757303231,-64768.70043121128,91394.11994619918,28.299999237060547
34095.210611974086,-291968.0860925332,-53644.613397651316,-2556.7524912092167,53178.0215137209,28.299999237060547
37852.55161308193,-193589.7543423142,-46934.128385641045,-36086.60341925093,126033.41371659278,28.299999237060547
22127.59429197145,-260523.77616681386,-192255.63314238744,99702.39926881193,80244.31230941523,28.299999237060547
86060.9660486292,-243383.05490474202,-97254.45925026854,37293.604782787515,199609.16358583767,28.299999237060547
19045.771744015496,-129548.60397178394,-46020.738474783066,-53545.45100313154,39675.79614256837,28.299999237060547
14982.88121717757,-63174.71188840769,-24067.602342553957,-58180.41171659213,10408.644018382405,28.299999237060547
8807.530382638099,-66053.70522070481,-4637.016391561958,-26769.066895018455,10202.160805895897,28.299999237060547
54034.16547259443,-379880.7716344209,-404657.68210188905,164025.2533368559,171748.0578934406,28.299999237060547
23993.43903083002,-152799.92366775096,-40186.01191150116,-932.8273993688786,51277.73940131534,28.299999237060547
11330.605835229188,-92135.89150545336,2862.187516972521,-5723.983287580793,11434.468308006544,28.299999237060547
11482.813485927329,-25887.175391287386,-56453.23333635313,-74314.25204850866,-198561.15058590684,34.20000076293945
15303.273212159844,-15765.078711081744,-51514.977187969074,-24604.88146342741,-22889.12749134489,34.20000076293945
17031.27142486478,-14360.159125539518,-46172.93401703093,-37894.84917190761,-3842.8567727625514,34.20000076293945
19076.171018968613,-18297.348879674875,-9960.83968232511,-29452.8308289908,8248.354807196994,34.20000076293945
37948.14610287906,-70014.44822636801,60688.77157825131,-56617.335293301614,1104.3040273205465,34.20000076293945
9873.671743021509,-10519.735158427242,-45425.03400119471,-51968.37765032548,-65362.68778973112,34.20000076293945
77658.38805614151,-50280.94888168493,4998.34670688022,-41593.89968607041,-1659.8575997948683,34.20000076293945
5404.938205370161,-17558.723690676325,-29881.629836871558,-43579.923835542795,-16945.721388293303,34.20000076293945
36063.508444160485,-14364.946539133827,-70678.96286895513,-138404.19648077773,-99519.7096229717,34.20000076293945
19137.015542658657,-36031.23990700576,-1115.0097715383706,-57213.51333153543,15082.902292149594,34.20000076293945
37233.7105300126,-23077.744497432894,-118615.08630600992,-78979.57686190661,-17516.82751773539,34.20000076293945
20142.252811378086,-31142.352744190866,-39310.069043071824,-70925.82479320226,-50210.033634550295,34.20000076293945
13934.293497351247,-22010.656303523912,-11940.475506499082,-52664.92365313787,-57877.4424802055,34.20000076293945
4055.410729299241,-56869.687565156535,-61784.98057803495,-40722.74478172019,-84182.49158327491,34.20000076293945
11681.799748612784,-38234.49899900035,2055.682042128366,-13512.491342062203,-20897.72661511529,34.20000076293945
29845.781587270507,-114863.38655442366,-29372.63552935676,-196636.5389334744,176441.38503696956,33.5
37522.1162902123,-76209.64815798672,11082.610331418238,-96665.34838142453,56143.75899111,33.5
29511.95504036071,-186785.9464426931,-57547.948248703084,-242992.73417169577,115729.84872075172,33.5
45671.397903724275,-136176.94975032198,2204.74322676725,-123551.68316275036,45272.97044194262,33.5
60767.42595541609,-175900.1295314089,-38338.543144320814,-108917.87231856014,79454.78024017466,33.5
41421.08825570581,-144898.5776581671,44147.39931578306,-68693.17063044258,46076.72987596978,33.5
20917.559162424997,-254744.91542792652,-44837.93578888674,-226944.88888416596,211733.76155654681,33.5
38169.543610306384,-121354.73327525516,42868.418468418604,-78396.4312592685,32172.823055885125,33.5
69132.5272714758,-465995.5405073677,-22422.30775588277,-288658.22666995926,238820.85003378498,33.5
10129.604162090583,-149793.5142912267,39533.02479812255,-101304.15911257773,30332.180863932805,33.5
38347.66287067183,-400666.11434504396,30087.88554935464,-61221.760949222415,110269.9378890468,33.5
13531.929147454604,-176954.7555160016,-13890.73411942538,-165615.94095917378,-22208.134847035653,33.5
152413.52193270286,-201401.37675169032,58361.82738545959,15949.440770170708,-67204.69264867506,31.399999618530273
164867.92622980627,-406071.3585901639,-21580.434511992375,-248518.0483429451,-223538.98948968627,31.399999618530273
23621.885163727275,-174373.69716385246,28722.532999416744,-143621.4948001023,-27167.80966015797,31.399999618530273
21131.014499644272,-63621.22284331523,13022.494060200785,-71097.3556744399,-22388.630921396798,31.399999618530273
21115.753628780873,-48339.242011233284,22121.162931821025,-42756.12098832307,-2011.0153782828456,31.399999618530273
101190.69659283846,-449552.07502408477,-16512.745301656705,-457710.7528066826,-247041.2694954616,31.399999618530273
47218.07756196361,-158113.28781167613,46383.3365209657,-247532.93369834454,-90363.47831903346,31.399999618530273
17540.28708312208,-143592.9583192565,25780.57796556645,-151681.41585261148,-53354.2187978846,31.399999618530273
102662.42490346152,-420478.3844676022,17893.496076229683,-284271.33930354525,-177264.69977314558,31.399999618530273
53006.51975604347,-196739.46690575953,70625.11667053745,-134578.6585934488,6464.108053071082,31.399999618530273
14545.789571853826,-105961.49147170725,38706.12483058183,-124705.85505300251,-25758.898232790176,31.399999618530273
320341.93788758334,-398837.57736524765,-9010.888955936221,-249489.27804458677,-141979.2326708439,31.399999618530273
92813.95999286488,-384648.55483199394,7454.852047187188,-654628.7544165193,-486020.3608525685,31.399999618530273
134062.3170637863,-496403.1827965326,-51507.50936584713,-369203.3143419685,-638229.407202363,31.399999618530273
39456.19170189478,-193697.09511598898,33108.7597332231,-267028.7540648448,-116529.1000216356,31.399999618530273
21656.281658601165,-198657.76798908858,13823.66116044037,-119039.25109170451,-59405.324256502056,31.399999618530273
13803.75271859757,-89761.55682171533,10149.210278278708,-74806.48280089648,-66111.95760478008,31.399999618530273
56233.06110448544,-141449.08647677602,36183.80051289735,-67634.05126966415,-26716.652789510146,31.399999618530273
82797.580851572,-162924.86606703367,64160.71523135927,-128732.1264783518,-24040.383775943785,31.399999618530273
88924.02668325868,-258246.3265369029,511292.4181487722,-370825.0225419312,315636.8077359784,23.500099182128906
8046.15245352562,-136070.56724287,283884.35285736935,-126161.4429087778,114882.11937358862,23.500099182128906
21081.5112381249,-114814.45774968229,202897.35235928366,-49063.09394403262,85502.48595075741,23.500099182128906
23619.03158809139,-81886.79438794342,187225.0386735275,-58831.68741331669,27989.676674466788,23.500099182128906
18844.72236960373,-69563.33483528462,121864.57394934466,-32805.710421453055,15184.454948769477,23.500099182128906
97493.09033167255,-34719.5042439378,491485.2755172728,-385867.02368075226,357528.10131334193,23.500099182128906
5436.63809081633,-52322.96624774946,143098.9637625326,-188416.57768976636,112330.68365909538,23.500099182128906
23289.065713619388,-73665.89368865627,166734.5793047034,-3297.59547752701,52951.25293497633,23.500099182128906
58319.396980376216,-126563.92293529384,-77235.07264645821,26187.39662830696,-132127.07139933613,34.5
