ProportionOfData,TrainingError,ValidationError
0.02,4.933498506687888,5.3419001926075325
0.04,2.9800382378265766,4.626653386637697
0.06,1.8204087820921189,3.3327127579123834
0.08,2.4883914195832957,4.8391996779742446
0.1,2.2221369395306025,3.456388697855215
0.12,2.625350421547626,4.1522804929217525
0.14,2.6425059640667286,3.935518198221323
0.16,1.8426820954230383,3.3780782616468477
0.18,1.7775162439208798,3.1610107265149834
0.2,1.6793243325023177,2.504090035321478
0.22,1.6793811970385861,3.159972463951868
0.24,1.6984150307797616,3.3915456624745035
0.26,1.9600450712964441,2.9593226849837064
0.28,1.430709519819571,2.4987823465009256
0.3,1.6839902444960064,3.2036362624851455
0.32,1.972954409802226,2.9114337454839614
0.34,1.5998935535882404,2.8884692314050064
0.36,1.6984797700759597,2.9850948308790537
0.38,1.678059468623746,2.763490223072608
0.4,1.6669631916438032,2.632376318671323
0.42,1.4137587232386513,2.5193024807278728
0.44,1.488571109886133,2.380745853323488
0.46,1.7787130254762673,2.8419067464384735
0.48,1.6497197206859966,2.708868433192446
0.5,1.6543077566683668,2.7543652585379013
0.52,1.6651765759751687,2.7285707726644697
0.54,1.6288270766316277,2.612607471938645
0.56,1.9596558528556556,2.654734330917987
0.58,1.5156238843192056,2.3902457415923037
0.6,1.809795975983126,2.6872469618100823
0.62,1.611075920595497,2.5504000313314856
0.64,1.717223150874839,2.72002630896928
0.66,1.560054041993549,2.3034967417752084
0.68,1.447083585352853,2.275131781350759
0.7,1.6013433264322792,2.575665212765469
0.72,1.6425577843099142,2.349493969309928
0.74,1.651375953946553,2.6176017399121037
0.76,1.6368455160585575,2.328261595484139
0.78,1.6327390723998074,2.311080486097114
0.8,1.4615743141852648,2.314322439699935
0.82,1.6092929531714344,2.479978972075934
0.84,1.6111065669978313,2.339738982914124
0.86,1.4862054816101267,2.2500150016824674
0.88,1.630206456071479,2.5076854040380914
0.9,1.5463885372750972,2.288143594314373
0.92,1.4371744379305207,2.1991586892169233
0.94,1.5165336813734929,2.456136702848927
0.96,1.527026431814647,2.380434228946524
0.98,1.5292263984458292,2.2695533884616728
1.0,1.4729391916604657,2.2997547453540386
