ProportionOfData,TrainingError,ValidationError
0.02,2.6569543735521486,3.3005005970437535
0.04,2.2976731106429753,4.177947671255385
0.06,1.9836794783454175,2.9740964962439036
0.08,1.8842212074895943,2.475769628889431
0.1,1.9811076713128593,2.6975255383849346
0.12,1.4155210452717726,2.9925419680396574
0.14,1.4109410506474231,2.4922737352456013
0.16,1.3142826537660608,2.0839758259951515
0.18,1.5235354568120738,2.7613320832939032
0.2,1.6634468325988085,2.252933666184208
0.22,1.27983803003529,2.041721371933692
0.24,1.423832571084273,2.158317930904357
0.26,1.4493777291259058,2.1999026040813328
0.28,1.5942200095391201,2.2171642455662903
0.3,1.4930180820477381,2.524771054438821
0.32,1.4694516703854208,2.0342859326258274
0.34,1.5173390135043197,2.214553268214913
0.36,1.3328829847604953,2.03487028135387
0.38,1.383196508995067,1.9624474723779013
0.4,1.3571065424929967,1.973436318634004
0.42,1.4884934027978751,2.0196407730318664
0.44,1.344418196401875,1.89482987118213
0.46,1.470801963543883,1.950188368809426
0.48,1.4128697877331295,1.912254221543357
0.5,1.305075869626299,1.8986499095395175
0.52,1.3476379253766395,2.0094064865804704
0.54,1.3051616532054542,2.0202493680984306
0.56,1.2805986500705733,1.7306060449333664
0.58,1.3319250169137216,1.8790153879321196
0.6,1.2865465418659368,1.8717825908403587
0.62,1.2692881335643647,1.932339356837025
0.64,1.3407930683846936,1.9286283246776557
0.66,1.3151325377998668,1.9013273154934633
0.68,1.1804874432355301,1.8144092119927329
0.7,1.3027412784512529,1.7258534852187073
0.72,1.3091991896393773,1.6591672773922315
0.74,1.2057259710623514,1.8353722621576267
0.76,1.2182741028074264,1.793922895915744
0.78,1.2716225869245288,1.750636927890476
0.8,1.3234168166996665,1.9218009562220644
0.82,1.1232369815247445,1.8112248680856375
0.84,1.2936085541506723,1.8570572150089615
0.86,1.3487004188669667,1.8500136518172803
0.88,1.2026286800973267,1.7163760830882762
0.9,1.2104174473357527,1.9074644030091403
0.92,1.1920044128111833,1.659746285839974
0.94,1.2702052995034099,1.7474068673974723
0.96,1.2844124502855756,1.7924389509461225
0.98,1.2731592280641224,1.797205125105846
1.0,1.255309122828173,1.772235157477215
