ProportionOfData,TrainingError,ValidationError
0.02,2.8917742737437218,4.563567313543373
0.04,2.747278651070386,3.074954725853522
0.06,1.6859325603232693,2.016290251385137
0.08,2.1291641398274725,2.889697167068711
0.1,2.570593954724519,3.3193332276399303
0.12,1.8647074434033861,3.0165892596939616
0.14,2.0218175165109296,2.674789096570305
0.16,2.410169296703967,3.039895790687603
0.18,1.8600515449952024,2.6483205001001613
0.2,1.657417755381065,2.3793488420334468
0.22,1.7066632984571044,2.487030810976137
0.24,1.506920463147693,2.148470204603048
0.26,1.7821641044068266,2.494286210995167
0.28,1.6833242407484152,2.2094262691454443
0.3,1.6755141540144192,2.1160876477578294
0.32,1.7531073718108583,2.3830743755284116
0.34,1.5947943479143067,1.9668340717704325
0.36,1.3562583965102124,1.9591873902730081
0.38,1.5967550857439787,1.962054739754625
0.4,1.4914104685161893,1.9247197930869806
0.42,1.5331770604134398,2.1566071153886663
0.44,1.570119196945536,1.9400194459182019
0.46,1.524864620542565,2.0403461100358937
0.48,1.3987877602414858,1.8919752286015519
0.5,1.3993550366990894,2.0536009960649393
0.52,1.490911888168581,2.0788402106078254
0.54,1.687864507214566,2.081316198908653
0.56,1.4313322592564335,1.7911269098529665
0.58,1.5766260858762118,2.039823788826772
0.6,1.5040664612911903,2.006527011459215
0.62,1.4756420961047823,2.0341042741534716
0.64,1.4671063713212957,2.1079043958773194
0.66,1.4507714558568892,1.9468367824206836
0.68,1.351900435793563,1.8717745821123661
0.7,1.434923328197532,1.8477583164097584
0.72,1.455903592049601,1.8066052120241765
0.74,1.568460478946532,1.91877907074924
0.76,1.4122583484895652,1.9524386379831342
0.78,1.4035586787236967,1.8344448444168489
0.8,1.3502244178578127,1.6732987174150438
0.82,1.3637688525163647,1.8697602475460227
0.84,1.4943992241811246,1.8392947948351335
0.86,1.4241759470252222,1.9175860244279168
0.88,1.367416585193221,1.7681744485665494
0.9,1.432054247073748,1.855775964278314
0.92,1.3227615266351052,1.7849691840313846
0.94,1.2916979815640632,1.719156671456458
0.96,1.3668111992338225,1.6740082267361829
0.98,1.2998795217666141,1.728300261735089
1.0,1.3269169920152184,1.7179966180528699
