Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Input23,Input24,Input25,Input26,Input27,Input28,Input29,Input30,Input31,Input32,Input33,Input34,Input35,Input36,Input37,Input38,Input39,Input40,Output
85709.96052717256,-3424.444563951858,51287.59495300581,28776.15411644152,51470.85244458326,76489.60675303744,9373.46183597664,88.26321585613232,-10411.525889453447,93799.46865652078,58616.05312247401,74991.91722691181,48462.64252985641,60922.15427617085,-75961.43092113393,92196.94254013698,-58531.784255091414,18041.232016723367,53882.90872024523,14402.225014189633,-420.9701965096101,29903.15740827032,988.811976621444,-45209.332224837926,73636.46398273988,26246.263622338978,28673.451526629306,-40258.651113765955,-8852.86783765173,4292.282150947587,54468.35659264047,-66641.75233854631,-29611.41370182763,-30058.858877395163,56539.909005303256,-26988.218481357853,-24820.67757810061,81203.82803564642,48095.87279112325,-35342.579349064676,19.200000762939453
166404.0689740528,46049.09334961072,3383.351935178151,60207.97081387803,124587.92426685135,81092.50797086547,136323.3001488054,13889.575758930441,-40378.301176661975,4686.918398229916,39583.60952979759,130304.49788759528,101914.40066566548,84534.8880441743,-106416.65696629715,119683.33641811757,-171335.9268808089,8688.886681490423,41789.753404129486,-979.2879010889628,154148.33312734502,86515.53033976923,133345.0111372984,-108470.94528456351,239117.11543899184,6024.11649297043,17618.35505786218,-70335.94352289767,-45358.942868014725,-9025.800111767565,128845.37341825907,-143903.8774221751,35923.05437024178,-32723.67488081808,33004.04834135275,-175212.85958583595,-50286.51931748282,110981.31495613232,128722.63386548945,25540.77625287258,19.200000762939453
2864218.269918035,1191182.641509096,188835.1668459129,213290.88580945038,213473.79056680028,-207383.13637984803,809611.6540332491,-37970.340132251025,575281.9990291017,-674025.3250447651,-569058.5785932206,-116390.40318718778,518271.846882192,-199787.17022103138,-466846.7435375645,1013131.8218890773,-1312431.8678554704,675847.0745686102,555025.2349067904,-541457.6918221709,919127.7034802975,376645.8583151359,465261.83223524754,-760962.1754575362,728735.4439076829,-1437893.441464341,-73803.75843194789,-1419676.3409310873,554313.0686916035,-46204.13516541743,219236.28632712108,-950950.1055618143,219619.16714224897,-879418.1699039097,1288192.4793734073,-387642.25517154625,-149555.29168004272,38718.38685391936,-91520.66207095791,-278565.7345279179,19.200000762939453
2074258.2863283218,904092.669524539,255941.02008794862,89037.13615702563,-8263.12455800695,-35100.14049455915,651584.431178394,97569.67667705793,497514.8096194518,-500864.01308427186,-317783.21801387204,-73282.09052013233,345175.1439995918,-98822.03162253213,-270305.17124837195,705326.2967309591,-805712.7742398395,452573.8211321335,397024.18182425754,-377588.98963860294,743056.0144919165,321935.7203376086,268206.7261158221,-575933.884114254,487546.60281102883,-911494.5096178917,-70904.92117130078,-1026480.7788339943,243520.17540531632,-46596.29827942723,314180.35917239334,-505282.12439629366,356825.281653075,-625191.2883205332,841829.0742609815,-311188.69774652953,-3224.5348492910243,174641.77297672635,84697.54609475273,-186983.22883154076,19.200000762939453
2121544.764155033,1113889.4573152268,340728.3588234056,246276.8549742956,-35372.83196523644,-35384.49526788361,866542.8170616738,-334723.41541192675,796010.8095368542,-238973.85893226264,-659338.114681485,-184559.01403435427,488973.5091424362,-206596.53590966586,-294694.4144330737,858483.4845575469,-1147322.877975415,758223.4631734849,525272.955803968,-534112.3668335283,965315.9640509838,659550.018463147,403486.7555273008,-649826.2003077331,609634.2096401827,-1074274.7508093177,129266.09640332806,-1594989.6638373781,538020.1513482466,-28958.203891406978,838270.6939546968,-915312.4912375527,449961.8640584183,-481943.1669099397,989921.64356928,-325660.8442732572,-109512.6317602656,324097.8346737807,135284.7461319242,-390314.62663131463,19.200000762939453
943019.9073459969,58394.02047771432,-219978.89394682695,201715.5960355251,97506.41289145646,85131.33233948503,947132.7317600826,-104187.00830516109,162255.205861166,-10333.778735598182,143817.60100839194,158577.18555575697,305714.65762409713,216472.78191284297,-426756.69916844077,829378.5896721762,-1076232.1768087728,466892.0831608556,31958.203929373652,-463359.684335667,400252.8459871908,835859.3364013786,273702.0453199942,-326179.81258957833,1176230.8790165745,-346690.9862257685,221957.40635795245,-998225.4174315413,-40840.03041539675,313479.09358361794,475950.4007470921,-649621.5800524501,957452.3449680597,-339212.2135757182,254395.75145012425,-637618.6311794311,-617977.8710886714,783611.7183113139,-109041.81635301553,-263693.2666319516,19.200000762939453
2306110.3449930674,1003096.1970613913,170806.96237208202,111089.11956015331,16953.56297613246,-9789.121037438157,806231.702305326,141341.2083318023,651968.115544528,-591501.6819212323,-329260.31447996316,-71081.35888714135,471021.541792105,-240172.44092504078,-274129.1795562804,774703.479296516,-873169.947326424,509010.72133799945,450048.6002516977,-375163.44922894036,785515.182090974,283568.16725828097,414697.33281726926,-738053.7421950186,537456.5065143788,-1046727.5855757159,-147451.4218885491,-1020857.6244727776,303234.9673019761,-69858.04307066524,475867.07378617977,-617205.395222187,359681.5975625735,-668306.6995913098,905379.200095962,-330287.9857447155,-15101.256898927613,160990.52779660193,170876.71118884024,-156949.42704893302,19.200000762939453
1262857.2288972393,421717.57067744044,93579.23496187125,449363.6846347611,-70019.33938813535,191062.8155589204,415714.8169805485,-745732.6268118514,-91699.09432976166,451192.6680247957,-742773.7328630136,368505.58916743984,707467.8984284981,42318.22120414843,-320234.6677430369,453342.0053208105,-1411197.0509681292,966425.7331990796,-168666.10487650064,-918571.8744295317,119712.72762089892,1127778.987122595,170600.4215314946,-268423.4906085805,189867.23460737983,-678436.5013080026,47215.672016279685,-1324806.8229748833,749830.6336138886,243863.81178362222,267262.0416175146,-101015.6280733092,505641.1233167599,-176892.0565289223,-332938.2847917981,-1030794.1713004089,-302556.12799021386,564334.9582643007,-308784.06395124196,46760.58019550667,19.200000762939453
1248701.4769429432,268138.80801072856,99618.93178626269,113121.6992164147,154399.55820201905,222622.20945571203,198129.54198955485,108652.54426627401,261621.62607567347,-83615.98961103658,-332927.0308593232,84048.00885840943,102447.50933849975,98863.89058118069,-180674.0172713181,383054.5827205584,-431338.83920950413,287533.2544432446,105661.42381342026,-188692.23538293794,213322.5191048637,126764.9010789104,-93165.86933245424,-245793.5861811868,108842.70441375338,-407244.6779684276,-112804.63813960685,-547112.0050210691,141705.06119622118,166180.75877402298,-89271.23125078695,-189042.5057906938,8440.171106609203,-344794.20264750096,352204.001536491,-221969.23599485809,-142887.87085412472,102867.25336296152,-212966.41847144812,-158818.4170598241,19.200000762939453
304864.5706773809,-81022.0235591169,149924.99211748122,466377.50293357536,438984.95248365554,280140.32340364216,-83662.29022476595,-192377.85271345975,-176196.33640128974,341212.57574904815,-531637.526508206,383180.11249395873,478610.05210066884,328596.78129207174,-399535.8220216753,126984.98271787025,-393283.2440160603,315044.6288084628,-103846.18893363443,-258140.44110084028,-273215.5220915953,461290.2599965887,-280446.2869299094,12472.845227006821,-120298.95688545221,-185035.07051414106,-307017.49876333826,-541666.9960730929,724273.0533641251,433059.6752828492,-108240.07630517209,248982.85729319966,-338364.28841430554,64422.92754561158,-436596.1007164758,-760122.4800817365,-342356.89203145367,371478.4817607643,-609018.1846612962,-11038.075730142022,19.200000762939453
