Input1,Input2,Input3,Input4,Input5,Output
26592.35193717472,-23856.75383540862,-63055.07385363718,143986.60172438747,44437.96448290727,19.200000762939453
69565.0143784427,-44152.07871922406,23321.742982418968,233953.10155977134,-66700.22867955973,19.200000762939453
57870.30638763648,120854.78431800149,1610510.6155361924,1009541.0146246294,200273.46008493894,19.200000762939453
70027.19748864509,-25725.263112203836,1040492.202959506,801638.4234734252,109068.82068619451,19.200000762939453
114026.92077687409,-87493.64336708686,1445297.59697061,688674.6758907154,470250.8253523378,19.200000762939453
70822.40426167983,14116.959320362197,610383.4680574866,939863.5492793573,-210131.33476901744,19.200000762939453
79894.9952690501,-53282.90540256446,1105320.0436827992,849590.3578405896,56635.09845786729,19.200000762939453
63593.44133491977,-465320.8647887316,1000039.7624123441,683604.8019333212,363200.57245217304,19.200000762939453
52692.662704839204,-120838.37504493177,538707.2158377304,557571.3468280607,166882.8222089109,19.200000762939453
52258.15711167815,-361195.88179358514,427033.0062885042,426899.22440386814,237072.23479385086,19.200000762939453
9283.64913167095,39576.017522921175,128544.44344811676,75608.04038848526,41455.630707962126,19.200000762939453
45748.22313136706,52297.88139309542,-13102.934866588661,388300.6100203764,-66242.68326163368,28.299999237060547
23152.359886532166,100204.24132908374,412.48576157588036,198553.36893659475,66500.11072018291,28.299999237060547
43406.52657929073,67986.21724094659,-69.38315445055127,109495.04648220632,-4348.874315868453,28.299999237060547
66183.03069197701,-6224.768014694854,-102838.70482235076,246971.08331208292,756.6686709933372,28.299999237060547
18664.54457896202,24202.702295042563,36586.54364890335,37345.38489554047,37469.13322618778,28.299999237060547
22976.422536513775,45604.29531308562,16246.247974141039,53613.44705226522,-1842.3127450900754,28.299999237060547
21851.782269149106,30001.26611343863,43651.08794956049,98590.47269618591,12561.070797636532,28.299999237060547
31134.651352979028,33572.89858518487,-86996.74470423647,125947.38931700405,117226.2720377482,28.299999237060547
45376.70115841936,80632.47226022645,17476.754545855027,154036.36792535594,27084.1752531102,28.299999237060547
24044.797978972867,89855.07008551026,-98728.69932904546,-19892.2397081651,60493.16169766041,28.299999237060547
93388.76399798067,51245.586682008485,8650.753054845483,248192.16861354987,16787.190236855015,28.299999237060547
23583.255470375778,61486.927821492616,3994.0958710578443,74131.86461938177,25763.991068932293,28.299999237060547
18664.09397687109,45645.30006914011,27767.087906822064,79738.03394026059,18437.754370016693,28.299999237060547
8792.426563137386,23967.13172743133,3709.532591235974,16765.277297394034,5550.400293678848,28.299999237060547
73573.64127005971,84859.99608205762,-286851.6427430797,92151.69267181186,-39242.81932506739,28.299999237060547
26824.560583324812,29722.22887119477,-12207.29857686216,41226.69248815727,-14017.052033675594,28.299999237060547
11944.420207217221,11313.291517862093,-7987.186537873453,14275.527819318902,-14071.746862957194,28.299999237060547
20221.646989698325,32191.353445810604,-182500.3687540151,59385.757209738644,107249.09218185607,34.20000076293945
18583.548397075127,16133.070641835162,-47710.1108953285,71179.9951325802,-25921.464615677036,34.20000076293945
21311.563752707814,12566.498855112912,-11731.707702444088,58802.64091981621,-61832.907024138076,34.20000076293945
22330.043565247335,6556.284026679681,-10186.690090686772,36014.396937273305,-47837.55252897309,34.20000076293945
43343.81609404075,-19613.366468067972,-9542.45843906984,89066.71663371885,51092.60997040413,34.20000076293945
11786.291808979446,-30671.764874790286,-63346.86302752149,55445.17615260463,-23753.636191159334,34.20000076293945
86778.9526384968,32600.18955985946,-84146.71869655316,86240.50462317496,-2442.65724214096,34.20000076293945
7541.917349228969,-10731.246565649606,-48123.93229426945,56226.1543233327,-41301.8143206918,34.20000076293945
39584.02374135793,14588.928286762126,-78298.54493423972,124053.66140575298,-11157.970948114216,34.20000076293945
23211.034504493604,-25061.979121611323,-17635.810527916496,45508.33839583136,-36117.251318189854,34.20000076293945
42074.9516289018,28438.248323442567,-71591.98785057355,88554.36491207212,-108840.98560957353,34.20000076293945
21759.393798114084,-8696.667780426365,-30303.850026379696,48505.94111219293,-30890.053971891,34.20000076293945
17391.96200099727,-23059.511866588895,-22296.933248175184,43436.16856964508,-16249.407884598133,34.20000076293945
4412.055069817812,37554.40468066308,-46719.47368353462,68423.4951741102,-35838.1815765866,34.20000076293945
16117.318848620063,5216.366696031317,-19613.037920944247,52553.773414304895,-40201.78109114209,34.20000076293945
35836.10790193104,142549.67854694548,21178.217143184866,94556.64453401367,-86502.93083084733,33.5
42846.449916508915,39288.95366054855,14927.1754879274,47891.59773013242,-73929.50360158487,33.5
44016.00016699372,126353.25993848906,12860.257157160708,139946.11786457544,-132143.06248157402,33.5
54939.435713419414,97928.80328163723,-21883.400000842532,72150.82042961597,-134876.58683964735,33.5
60589.082103222725,99470.9275348214,-77929.90092129984,179423.94525470797,-90522.61041887598,33.5
48936.71367531192,69358.42065284145,21436.750247138945,63056.40359108348,-84321.7460656008,33.5
22710.66024207553,145014.8933700094,8439.830617623566,197392.59696001813,-136189.14306149777,33.5
40092.49488651837,49300.711914590334,-6055.5499948072265,55338.12644451934,-61065.716601218,33.5
86200.3153792996,274692.08785078785,-45148.64376058365,150652.82316449142,-150307.36837501347,33.5
17984.12301623131,43776.329467638316,-1308.6021252098942,51986.121114290014,-117497.91324786477,33.5
41660.93579158369,123680.20265513379,-48565.88754017585,220024.29255352946,-26323.220352016404,33.5
16353.764046044107,98250.2536490552,-31887.628222095598,20305.39668516299,-186687.36920758322,33.5
168828.8642229326,-50805.032905375876,-182644.7495740395,278948.1638515181,-77304.43091761568,31.399999618530273
196834.85996180738,-75482.13274357606,-180189.49879368738,235219.54355994106,-328401.36173759383,31.399999618530273
