941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
23009,31504,43869,79657,53027,100351,39199,48647,18892,32253,37696,11555,46150,30695,14808,32466,29572,21137,19.200001
229675,224607,200772,147600,141009,69645,67868,85467,12409,75104,43614,54934,103982,71274,72635,92239,70397,82992,19.200001
1897790,1155075,1136046,3118091,1026671,173811,458049,680288,62507,415003,38819,60841,11439,109974,35191,118398,19258,107658,19.200001
1297082,879571,1151308,2339967,1079900,142025,106390,284060,27159,61052,10053,12626,29380,18838,62912,75280,7659,77563,19.200001
1371543,447297,1462703,2382838,777960,193234,331576,688550,56873,528973,6034,33426,79055,51381,82346,138593,47509,95177,19.200001
1290475,1402229,1894240,1348224,1501378,92368,226252,150068,177419,135763,119029,53605,565716,47530,72166,116362,42064,107953,19.200001
1603727,703287,901732,2561290,1207211,86969,66103,217856,44921,22224,79447,71577,81086,63812,120938,44734,111731,126977,19.200001
1244711,1009337,850157,1507672,696108,184730,1629174,524942,136554,741468,111179,107642,388782,81760,116960,100684,83679,91886,19.200001
395758,383459,523397,1450569,998456,162852,581857,371190,23448,281504,25030,25226,12474,34522,35356,8435,16387,36015,19.200001
525480,401877,274713,430779,340942,308303,1593034,1015973,32884,748959,60663,10684,187916,45679,56826,112312,107117,93118,19.200001
96622,80929,85445,141312,89117,41041,282159,59450,12483,45329,8419,13791,18294,11100,16265,31600,32129,26588,19.200001
83300,104434,136769,131904,68572,797812,504910,145071,75122,190284,164770,128133,36168,193305,321996,265469,118678,79762,28.299999
11505,31476,20301,7147,31429,282230,253865,127079,27589,118680,15521,11352,23609,22396,47204,45566,48704,43232,28.299999
10610,18196,10891,10924,20995,163078,171089,70231,22274,34695,29355,28476,18329,44325,40753,30554,18700,22525,28.299999
53572,42664,62043,56275,38397,602928,105418,233305,23479,153138,21581,21730,76563,55234,118656,110279,26173,53858,28.299999
55619,37517,14612,25371,42549,310961,315244,21729,6280,98094,9841,10968,13316,43354,63950,40561,13701,14226,28.299999
29609,13706,14245,16877,14167,107087,220905,41448,11090,27768,10750,10881,7297,5906,17641,36713,26629,17858,28.299999
6550,21891,21247,10278,11624,113348,403561,120306,7823,39125,2151,579,15879,19292,42162,47656,20705,9426,28.299999
83161,93502,73695,81297,69883,161136,221453,93050,54002,155571,79084,26227,18629,41269,31568,29814,42106,45370,28.299999
22958,25778,38526,19848,8800,269215,300261,116745,10214,61445,12016,16428,10701,45755,58916,34554,15046,31224,28.299999
25526,26609,10268,10364,21789,192711,286696,49661,8882,119363,9276,11577,4810,42020,55944,17878,11208,17073,28.299999
38163,39615,85263,93845,76504,447557,326133,214559,63481,133513,53378,55524,46176,23735,51703,38017,71246,80513,28.299999
34525,14828,13502,24859,34772,110875,290374,83856,25430,42593,19045,18602,9057,18765,4244,26398,25016,27067,28.299999
9889,15971,20980,19769,13942,61458,174956,56115,15187,5671,13526,12668,1542,17120,17107,11852,8542,20074,28.299999
21360,13353,11766,14149,17524,36452,88592,27777,12093,17954,9414,8519,8667,10940,9829,9479,7372,5572,28.299999
94182,50482,63966,56841,77854,392323,168685,92991,26416,117045,41491,55147,79261,70324,101159,46001,114994,130438,28.299999
55470,24255,20913,32027,43450,142012,155219,16461,11912,42111,7139,12142,15588,5322,16023,46936,43028,20784,28.299999
16844,16760,26101,19691,10294,48638,84120,19275,13553,25291,13994,10641,9912,18682,18293,7428,3457,3653,28.299999
98378,120456,114183,32506,41794,349173,22417,40525,29503,50025,70790,87780,19643,73195,60029,161274,204862,180518,34.200001
36609,71934,84877,22003,9223,43174,16826,18370,24060,13275,50303,37924,18040,15283,23670,80092,91908,80358,34.200001
37212,44610,56395,12040,13564,13742,8947,14971,6341,11455,41995,48015,12626,18416,25131,23749,35609,37479,34.200001
27649,35115,40522,15021,21721,4681,16319,14853,17927,18676,8178,40991,10972,23104,22211,32021,36243,30404,34.200001
23572,26441,38039,17315,36907,159025,126872,81324,41106,79783,58542,9675,11654,49325,65653,51029,37603,42036,34.200001
38991,43158,35622,7916,16958,15668,5960,6992,7102,8652,60347,62921,10306,19486,29099,52635,68799,65585,34.200001
148549,120787,67095,24005,44417,156187,36266,31837,44777,44695,48078,40128,24002,27192,44536,91504,112448,136362,34.200001
34795,56160,66074,13119,20136,5248,6524,2605,23620,7383,55378,34626,26178,20343,20747,72633,77706,61596,34.200001
82673,140502,166174,43861,39819,272367,63168,53714,13790,39703,89491,87457,27756,50428,57494,218619,224904,162316,34.200001
48354,59209,57156,8224,9751,27519,9885,14763,14918,17024,36732,23822,23173,20822,12896,43922,58557,53139,34.200001
54071,74060,75644,6465,14489,46216,16144,17575,16543,6288,70158,118061,26655,56269,14127,119166,128394,89765,34.200001
43430,39993,32325,6434,14138,13197,10518,9160,15330,10217,47288,49052,24317,41734,25255,55732,61081,41813,34.200001
16983,29970,33640,18675,12463,10922,9085,11405,8637,13838,41843,31930,13475,21495,18000,30494,34774,34560,34.200001
133336,147515,121040,21820,13371,21770,11895,4235,28373,7870,63617,60181,14913,40477,15773,82925,103284,100168,34.200001
62173,93521,104401,13374,5844,10667,14255,9150,14415,13732,25638,21314,7630,14882,16107,51814,68439,64072,34.200001
42549,85381,149450,89089,11759,345515,85476,90218,18430,90190,40117,237755,32476,17797,24770,80747,129179,160198,33.5
14837,99302,178046,62397,5848,40328,10007,4600,8179,26700,26450,125245,4421,8307,10458,7258,43208,89543,33.5
90138,63306,167044,116646,58832,240215,100649,44001,36148,107970,18897,276987,65222,49653,61686,128224,166917,184484,33.5
36432,134820,227509,80996,10456,64180,14317,4879,26113,28640,37507,179591,19134,26508,36361,43723,106210,164412,33.5
26973,94389,167685,75207,61279,192388,151735,112027,59968,111664,19846,104087,41190,80425,115754,56440,18768,62639,33.5
16044,113009,221372,74300,44056,67350,35000,29526,22606,31679,21937,117666,8509,39166,18503,45051,74139,107239,33.5
83907,107237,220157,98029,60781,264969,33154,16190,41092,203866,100013,326911,92817,78905,108177,14803,87581,145439,33.5
12059,47364,112416,84824,29969,36722,19977,5881,17495,38790,29052,105005,28967,15724,18676,6387,51096,101315,33.5
50977,89837,139110,169208,50249,416080,117723,111892,80964,186959,114088,246005,113951,80876,43905,143566,137423,81660,33.5
31290,66713,159561,98851,26878,73890,30320,38997,7288,35496,41148,222478,31987,43883,23010,57306,83238,94909,33.5
106002,114877,140846,323539,184287,280575,85324,88411,14396,69920,10001,157807,51576,67131,70874,67484,148028,189094,33.5
63370,70999,54573,165419,102267,27561,16567,16290,33381,20588,85399,475629,14245,37487,38657,41271,77766,88914,33.5
