808hz,812hz,816hz,820hz,824hz,828hz,832hz,835hz,839hz,843hz,847hz,851hz,855hz,859hz,863hz,867hz,871hz,875hz,878hz,882hz,886hz,890hz,894hz,898hz,902hz,906hz,910hz,914hz,917hz,921hz,925hz,929hz,933hz,937hz,941hz,945hz,949hz,953hz,957hz,960hz,964hz,968hz,972hz,976hz,980hz,984hz,988hz,992hz,996hz,1000hz,1003hz,1007hz,1011hz,1015hz,1019hz,1023hz,1027hz,1031hz,1035hz,1039hz,1042hz,1046hz,1050hz,1054hz,1058hz,1062hz,1066hz,1070hz,1074hz,1078hz,1082hz,1085hz,1089hz,1093hz,1097hz,1101hz,1105hz,1109hz,1113hz,1117hz,1121hz,1125hz,1128hz,1132hz,1136hz,1140hz,1144hz,1148hz,1152hz,1156hz,1160hz,1164hz,1167hz,1171hz,1175hz,1179hz,1183hz,1187hz,1191hz,1195hz,1199hz,1203hz,1207hz,1210hz,1214hz,1218hz,1222hz,1226hz,1230hz,1234hz,1238hz,1242hz,1246hz,1250hz,1253hz,1257hz,1261hz,1265hz,1269hz,1273hz,1277hz,1281hz,1285hz,1289hz,1292hz,1296hz,1300hz,1304hz,1308hz,1312hz,1316hz,1320hz,1324hz,1328hz,1332hz,1335hz,1339hz,1343hz,1347hz,1351hz,1355hz,1359hz,1363hz,1367hz,1371hz,1375hz,1378hz,1382hz,1386hz,1390hz,1394hz,1398hz,1402hz,1406hz,1410hz,1414hz,1417hz,1421hz,1425hz,1429hz,1433hz,1437hz,1441hz,1445hz,1449hz,1453hz,1457hz,1460hz,1464hz,1468hz,1472hz,1476hz,1480hz,1484hz,1488hz,1492hz,1496hz,1500hz,1503hz,1507hz,1511hz,1515hz,1519hz,1523hz,1527hz,1531hz,1535hz,1539hz,1542hz,1546hz,1550hz,1554hz,1558hz,weight
22196,21888,17138,18892,29476,32511,25590,18398,14949,5852,11025,26476,33385,29738,23489,23878,25336,26666,30638,32899,33800,37696,39997,34720,28040,31828,36458,34117,30032,26548,19316,11555,10903,8211,16168,33820,42515,36684,26009,22340,14333,5579,28484,41039,35241,22020,32123,40755,30695,14808,24205,32466,29572,21137,14022,15493,24023,28636,26803,28036,32939,31091,26633,32574,38729,33988,25512,29709,33681,28582,31504,44973,50447,45841,45891,58448,69427,70210,65199,60996,52803,35747,25913,35096,34806,23009,31504,43869,37329,40166,69113,79657,53027,4196,58982,91807,94381,91319,106562,118214,109085,96173,103384,115313,108978,82281,52864,47616,47256,31587,62562,123863,168104,179102,165588,149420,133249,98139,45405,55457,95964,98331,63118,50275,100351,135425,131693,91893,38518,39199,65861,66888,48647,34100,32253,26353,40036,72805,93541,88147,57184,14250,29443,49506,45958,26586,8430,17500,28128,38634,49422,55672,55462,51959,49995,51759,53152,47792,34045,17769,16979,26661,32989,38473,41482,35665,25776,36305,57557,68976,63990,46150,24808,9706,21219,37006,41111,28358,7991,27780,43656,42478,38276,57600,82053,90918,79950,54904,25354,7740,21985,28270,23191,19.2
4042,20376,20511,12409,23547,19799,3997,26400,29109,12392,16400,36060,32967,8812,32230,39208,15727,20294,36499,29221,17978,43614,54462,35383,44476,66779,56948,46160,65607,76813,63540,54934,77782,77394,56925,71698,81727,63491,51715,69473,74937,53583,59634,80204,66388,58015,80699,85986,71274,72635,95127,92239,70397,82992,93531,74766,57765,63088,63446,43523,20270,27578,33755,36139,32045,41653,72919,97068,101891,107500,139604,160549,157103,173268,202753,210338,206296,217292,238700,237745,223906,238293,250479,234416,224026,229675,224607,200772,186003,193467,180423,147600,141009,139278,114788,89936,86879,82342,53505,34584,44398,27408,17485,38375,36857,27569,42949,54048,42526,48407,67012,60194,51694,63980,68104,56088,50807,64641,60886,46633,60876,65614,52302,55662,69645,68315,56587,68921,81327,67868,65683,84023,85467,74346,75104,87459,85702,73982,83140,90775,78038,71196,81383,85982,77319,70491,84067,93127,81354,78251,97230,105884,99534,98774,114809,124255,113760,116080,136166,136438,124934,129366,139254,134701,122890,129838,135805,119262,113880,124702,118473,103982,107009,117313,108707,97335,110643,112351,96913,100147,110278,104325,92709,98539,103763,86889,79465,88219,77333,60658,64390,67374,54170,19.2
65095,77199,43385,62507,82189,47513,50596,77681,46374,37450,72956,48406,29998,70117,51604,31825,73812,60183,39700,82384,71713,38819,86731,85577,37212,79274,89763,36588,69248,90086,36819,60841,92186,43349,53964,94569,51148,43919,91660,51833,47946,106165,72392,46440,114244,88070,35480,119746,109974,35191,114835,118398,19258,107658,129301,30463,98742,135261,40979,99822,149195,53762,104661,174063,79746,100827,199006,112539,91407,224692,151923,79596,254354,202139,69743,285581,257770,89828,338967,334974,184295,467513,468994,675795,1523425,1897790,1155075,1136046,3319413,4775258,4668971,3118091,1026671,528037,962367,474077,258915,570179,332909,158418,405481,265817,106697,324720,242977,60747,259187,221556,42495,210007,201081,44908,175677,182627,48887,155897,169225,45264,149876,166286,31928,154859,178302,20503,173811,199333,73237,391469,590217,458049,47192,431861,680288,630005,415003,200735,85999,300736,352972,63041,615361,1320614,1732879,1640902,1105120,411129,134432,310450,191000,54720,178242,141508,27260,120735,120387,33675,92319,115425,53676,76294,125580,102149,66205,78338,55130,21885,65501,57390,1715,50841,54384,11439,40749,49270,14719,36608,45806,12430,37052,47166,10008,41328,57461,22715,38228,60453,29701,41403,59584,25007,112983,190677,178368,19.2
17675,29325,44290,27159,15726,41157,38537,12731,32206,45232,24179,22182,49053,39462,8251,40687,48302,20083,26839,53775,40394,10053,49782,53546,16431,35334,58164,37585,14648,55159,54895,12626,45710,64710,32705,26516,65088,54301,4096,58132,73768,31788,38968,79137,57531,10884,70287,75685,18838,62912,105897,75280,7659,77563,78644,10432,72967,103690,53518,44636,114031,95378,8794,108501,131144,49714,83158,157722,115017,35704,159149,172823,53776,144444,228359,142461,109142,271202,255660,123160,325055,412417,293173,673630,1196021,1297082,879571,1151308,2332335,3171600,3173335,2339967,1079900,106258,635936,591412,191194,272649,403537,243723,117048,271160,245074,102307,172020,220797,138568,106852,177017,154821,96004,131462,147201,111028,105846,134121,128689,106477,109503,122947,127028,109291,103763,143829,142025,87517,166613,268377,253357,106390,124165,273538,284060,172023,61052,88076,141941,219173,196268,94374,505227,980256,1278548,1253324,915439,423714,53792,242013,225749,81831,107452,153754,99873,52905,99892,96988,54651,63047,82225,65038,46828,60005,62510,47861,43369,51646,48463,36745,40564,47692,38503,29380,40643,41905,26728,28607,40592,32014,20072,36385,37428,18144,25970,37193,23625,14219,34397,31273,6566,36499,60870,70857,76763,19.2
19333,17275,50221,56873,25704,29392,62594,51175,4467,49551,64892,40420,34295,54626,38858,19454,55520,56691,21835,31334,39555,6034,46906,71041,44678,29793,80176,81571,31706,46560,69847,33426,53722,106591,97112,32764,53668,80235,42191,24938,57615,24316,51069,104071,84909,16099,96059,118751,51381,82346,159562,138593,47509,95177,121840,53655,75707,134436,94625,77415,157523,142366,42456,132235,172243,78567,88157,185090,132514,60310,209364,213810,67550,196202,278417,142201,167534,356980,278690,108098,434725,457608,174974,868804,1473053,1371543,447297,1462703,3093400,3955505,3655891,2382838,777960,461248,881340,575705,47289,452105,445681,111950,244142,357941,183789,109925,285830,229881,14091,180802,199658,45233,150985,220058,110954,90910,220982,181386,4043,173529,212728,86106,103453,204417,143752,86174,193234,166890,170946,371680,449052,331576,323781,561000,688550,652515,528973,303520,78234,446785,529705,86785,851778,1927814,2640955,2625126,1873900,757131,276390,677705,520905,171597,420838,469182,236347,251091,390495,281868,198437,394181,427584,307746,407963,637037,740457,704379,581339,398167,196430,137879,178380,124154,19229,79055,74926,14244,78083,93772,42863,31258,71028,58859,35282,45354,48240,59191,62537,32411,41016,77729,84558,107075,158836,190998,194175,19.2
85056,18279,126207,177419,126546,114425,203143,205442,119936,146558,212976,166365,76848,145555,160502,70473,72835,133140,87580,28130,120371,119029,27984,88939,135539,87286,16405,97474,116452,80563,25540,53605,117513,136435,76975,61415,161028,173681,85676,79144,159658,137714,32033,75694,99620,51740,94291,118632,47530,72166,145683,116362,42064,107953,107130,56557,139944,155120,42596,143733,250535,201293,59212,186815,242036,139248,52144,141265,109517,145812,231540,163827,51932,270094,329696,187942,78996,218767,272701,379005,403536,116719,471092,1076340,1363328,1290475,1402229,1894240,2113536,1764979,1263644,1348224,1501378,1141508,476058,564617,810479,606846,194480,261984,304865,140257,172293,193052,61545,241842,337956,235636,156101,268351,243440,84779,131016,164708,49726,140938,217487,151355,146949,247350,223966,113849,155669,185546,92368,43787,99006,43013,140506,226252,181273,90359,150068,141889,135763,309972,419840,361262,128054,282114,820315,1362889,1674283,1557523,1011908,278196,321830,496760,312558,336799,564368,570223,542733,721762,854371,855973,927318,1083854,1147905,1147213,1214311,1290599,1275889,1229892,1228528,1207159,1110762,1003973,933016,838725,697110,565716,468861,365792,246586,148317,96487,92000,118168,133994,138178,148953,153712,135484,102716,80575,70859,49741,32914,68474,104860,111111,80075,19.2
58529,58350,20298,44921,60781,31599,27193,63118,59228,20781,53334,76163,45655,26430,64833,56901,13997,52454,74343,46315,37996,79447,69677,22595,61642,80160,45711,35248,80166,72863,27648,71577,89553,45684,45984,91593,77598,26295,80156,103822,55980,52330,105562,87341,32202,88771,110512,60521,63812,120938,98760,44734,111731,126977,58916,77942,142021,111482,52508,141556,158793,73606,109069,180676,131485,65618,184115,202607,92357,157010,252132,178982,110281,271532,282752,125609,264156,402744,275646,237802,530920,509222,283975,972376,1618291,1603727,703287,901732,2523057,3524925,3507717,2561290,1207211,426746,761076,644823,247691,360944,450562,260020,171341,315925,265090,116597,208449,238139,129447,123816,194187,146962,83443,155455,157093,82548,109430,141614,90692,70748,116614,94714,56267,107512,107918,46925,86969,118051,69080,20775,69070,66103,131171,217308,217856,120930,22224,41472,43513,169918,198580,13512,413869,919058,1279382,1310499,992173,486733,142655,285654,246180,58383,154157,196626,90960,71218,153747,116304,14473,112510,130021,47976,69541,132757,103061,18097,65168,77053,25030,53131,86891,52277,25439,81086,73917,14446,54871,78711,44696,23658,72458,65152,8755,53844,70288,33600,26235,64018,53269,422,58087,77380,47702,26839,53276,19.2
180073,236243,211138,136554,101434,102489,60262,15837,68739,68230,45080,57018,40369,51691,128445,164199,148643,151699,191335,186771,127845,111179,150107,148129,103861,50340,19303,86429,139545,125021,38738,107642,190335,180459,105723,120872,179485,158467,64117,42939,97541,82538,52594,96822,129318,111397,52426,21360,81760,116960,120449,100684,83679,91886,105161,94991,68585,63960,64938,52738,73826,99394,74775,49754,138915,188011,144589,49969,139473,220468,205580,106634,70093,159375,173356,107003,121724,204657,176235,24010,148254,167701,132361,591244,1064556,1244711,1009337,850157,1442862,2010169,2042658,1507672,696108,137236,331091,213839,156242,340313,297201,171214,322954,387937,251959,130546,252881,259081,130989,77636,171942,189311,139789,62594,107808,172842,140420,77565,176420,208744,146007,185021,248901,223335,272284,326214,184730,545678,1252836,1808933,1944305,1629174,1086694,652640,524942,612769,741468,705261,431214,129853,203071,221540,704709,1354318,1754847,1667786,1113773,353228,274393,513546,386671,333826,549377,544338,307393,434010,669992,568021,367842,684109,789627,394866,1088680,2377797,3278195,3358685,2600036,1382549,319201,478516,504501,204910,277704,388782,236348,42579,237613,249545,117164,74387,152948,138532,68693,5930,71531,115480,105915,68239,132881,191793,170971,95857,102503,164923,186819,19.2
18870,15781,15293,23448,25613,19951,20496,26093,22045,15323,21913,22845,15170,17267,21560,17289,18733,26828,22932,10253,20482,25030,13739,13893,24229,19661,8728,21820,26759,16394,16873,25226,18387,13471,24106,22157,10708,22639,29498,17335,15515,29994,24379,9078,26199,31598,16403,15336,34522,35356,20787,8435,16387,36015,48868,38457,8852,35229,50683,30536,17284,50442,45160,6899,51066,66900,31988,32733,78977,68132,3894,76257,100526,45653,53982,123340,101952,9492,139078,187876,95175,111051,326045,445023,444633,395758,383459,523397,890948,1318217,1560014,1450569,998456,388893,150073,371941,293067,51365,188393,237289,109778,83885,192831,154385,16071,129148,160199,69278,71979,151356,114189,12393,121976,141216,52626,82609,157782,115076,22234,149658,172246,64451,119602,226422,162852,121397,456818,724637,777237,581857,231709,160108,371190,396392,281504,160787,127476,80906,28733,119953,186178,263148,371302,443793,420144,305454,166303,98304,91144,55059,37327,63743,51180,11217,39329,47583,21075,17888,39837,29624,5188,39513,49934,33676,20363,29942,24079,8529,26265,33119,19702,12474,26180,22721,9696,21379,26617,16422,13326,25071,23788,13996,21320,27011,19523,13424,20879,23615,21350,15760,1333,30636,60253,19.2
13649,24823,35267,32884,35305,51186,55889,46046,41994,46787,37305,21786,34888,37985,28056,46109,64924,59314,42514,54026,68671,60663,45447,45119,43240,30073,15896,12362,15283,19918,15189,10684,34699,44872,34203,31705,45215,41661,28358,45542,61702,58332,59580,70533,62267,39756,46216,56776,45679,56826,94326,112312,107117,93118,67151,23701,26401,51071,42621,13795,27536,34578,27848,47275,55579,34805,39478,69102,70227,48924,46544,53356,48308,65260,92967,105995,105343,92932,85602,109252,114748,101186,231780,421394,540084,525480,401877,274713,254592,315725,397658,430779,340942,133836,104564,227506,186060,23577,136884,177496,68466,109646,222216,187128,58942,143619,175488,76957,135744,225576,157845,58901,211144,212133,51757,231161,348575,233984,111918,351244,365363,89402,341601,551764,308303,455899,1378932,2071214,2168009,1593034,602246,425418,1015973,1086618,748959,274021,107902,253833,235586,159611,103785,73485,54039,142429,263086,316224,251201,94495,80810,153239,105809,36449,137651,183115,184764,196257,213042,191402,133083,360378,819611,1289732,1554107,1461033,1018640,420246,266099,492224,444038,227325,150687,187916,91944,89690,206378,204542,118617,101464,126807,81468,17015,64481,57829,29892,67574,71464,24391,49593,96186,105486,93108,73350,40132,19.2
