@relation 'AT: propanedata-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R194-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.106847hz-0.105851hz-0.103816hz-0.103820hz-0.1021480hz... numeric
@attribute -0.151019hz-0.1411250hz-0.141253hz-0.1351031hz-0.1321027hz... numeric
@attribute 0.128976hz-0.1281324hz-0.1241078hz+0.123972hz-0.1211066hz... numeric
@attribute '0.158898hz+0.154902hz+0.15 894hz+0.148910hz+0.147906hz...' numeric
@attribute -0.1751210hz-0.1681214hz-0.1571207hz+0.1481449hz-0.148988hz... numeric
@attribute -0.2061378hz-0.2051375hz-0.2021382hz-0.1791386hz-0.1651167hz... numeric
@attribute 0.245972hz+0.225968hz+0.204960hz+0.196976hz+0.1891000hz... numeric
@attribute -0.2181148hz-0.2021152hz+0.1961277hz+0.1951281hz-0.1911144hz... numeric
@attribute -0.211339hz-0.1881343hz-0.171535hz-0.1681531hz-0.1621335hz... numeric
@attribute '-0.2191023hz-0.2041027hz+0.19 1042hz-0.1841062hz+0.1831039hz...' numeric
@attribute 0.1791015hz+0.1771011hz-0.174968hz-0.169972hz+0.1681535hz... numeric
@attribute -0.191121hz-0.1851117hz-0.1781125hz-0.1671128hz-0.148824hz... numeric
@attribute -0.223890hz-0.206894hz-0.205886hz-0.2031304hz-0.1961300hz... numeric
@attribute 0.1911421hz+0.1871128hz+0.1791417hz-0.1761328hz+0.1731125hz... numeric
@attribute 0.223929hz+0.2091308hz+0.207925hz+0.2031312hz-0.198902hz... numeric
@attribute 0.257933hz+0.255937hz+0.203929hz+0.198941hz-0.178910hz... numeric
@attribute -0.1861332hz-0.1831121hz-0.1791335hz-0.1761328hz+0.1661304hz... numeric
@attribute -0.2081070hz+0.1931285hz-0.1781066hz+0.1731316hz-0.1721238hz... numeric
@attribute -0.2441351hz+0.2411140hz+0.2381136hz+0.2081132hz-0.1991355hz... numeric
@attribute 0.2111492hz-0.1931421hz+0.1871488hz-0.1851425hz+0.1811289hz... numeric
@attribute -0.2821105hz-0.2431101hz-0.2391109hz+0.1691281hz+0.1611335hz... numeric
@attribute 0.2531085hz+0.2381089hz+0.1891082hz+0.1791468hz+0.1641464hz... numeric
@attribute 0.2251546hz+0.1991542hz-0.1941320hz-0.1631093hz+0.1591347hz... numeric
@attribute -0.2161531hz-0.197964hz-0.1911527hz+0.1871097hz+0.1721179hz... numeric
@attribute -0.2161226hz-0.191230hz-0.181238hz-0.1751437hz-0.1751441hz... numeric
@attribute '-0.202964hz+0.19 1074hz-0.1871089hz+0.1871183hz+0.1531179hz...' numeric
@attribute '0.3  953hz+0.263957hz+0.248949hz-0.236925hz-0.222929hz...' numeric
@attribute 0.2131363hz+0.1941367hz-0.1731351hz-0.1641347hz-0.1481250hz... numeric
@attribute -0.2341523hz-0.1861519hz+0.1831546hz-0.1661097hz-0.161101hz... numeric
@attribute -0.214890hz+0.207949hz-0.186917hz-0.178921hz+0.174933hz... numeric
@attribute -0.2361152hz+0.2051183hz-0.1961156hz-0.1781148hz+0.175875hz... numeric
@attribute '-0.2221515hz-0.2111519hz+0.2  1144hz+0.183839hz+0.1821480hz...' numeric
@attribute '-0.2241437hz-0.1921558hz-0.191859hz-0.1821554hz+0.18 878hz...' numeric
@attribute -0.2311246hz-0.2211250hz-0.191253hz-0.1871093hz+0.1731324hz... numeric
@attribute 0.195953hz+0.193949hz-0.173976hz-0.1651039hz-0.162972hz... numeric
@attribute -0.2111140hz+0.208882hz+0.205988hz+0.204878hz-0.1821214hz... numeric
@attribute -0.2491113hz+0.2161144hz+0.1971121hz-0.1821179hz+0.169914hz... numeric
@attribute 0.2651394hz+0.2141406hz-0.181144hz-0.1561101hz+0.1551320hz... numeric
@attribute 0.277843hz+0.274839hz+0.236847hz-0.204832hz+0.196851hz... numeric
@attribute -0.231410hz+0.2291347hz-0.1791250hz+0.1711523hz-0.1691406hz... numeric
@attribute 0.2421171hz-0.187851hz-0.1831191hz+0.1661312hz+0.1641453hz... numeric
@attribute -0.2731171hz-0.241390hz-0.2171367hz-0.1811199hz+0.1771179hz... numeric
@attribute '-0.246957hz-0.225878hz+0.16 1191hz+0.16 843hz-0.1531074hz...' numeric
@attribute -0.1991343hz-0.176855hz+0.1751527hz-0.1721515hz+0.172863hz... numeric
@attribute 0.226855hz-0.225808hz+0.2041390hz+0.188851hz-0.186957hz... numeric
@attribute '0.2141175hz+0.2  1203hz-0.18925hz-0.1581062hz-0.1491066hz...' numeric
@attribute -0.2741113hz+0.196945hz-0.188910hz-0.184914hz+0.173871hz... numeric
@attribute 0.1831066hz-0.1751406hz-0.1711351hz+0.1711117hz+0.163859hz... numeric
@attribute -0.2161265hz+0.1881480hz+0.1821476hz+0.1761390hz+0.1611343hz... numeric
@attribute 0.2141203hz-0.192996hz-0.189867hz+0.1821246hz+0.1781242hz... numeric
@attribute 0.211878hz+0.1991281hz-0.1981117hz-0.1791523hz-0.164843hz... numeric
@attribute weight numeric

@data
2.55455,-0.712512,-0.042585,-0.764705,-0.116225,0.389668,-1.741904,0.421866,-0.058805,0.408492,-0.206961,0.085736,-0.007441,0.420163,0.22359,-0.611179,-0.156075,0.17335,-0.976923,-0.347846,0.223919,-0.185757,-0.080553,-0.236226,0.228621,0.380711,0.335272,-0.952213,-0.770599,0.327585,0.378476,-0.489875,0.295058,-0.238916,0.012174,-0.542591,0.062118,0.306656,-0.455785,-0.338135,-0.771773,0.155381,0.491057,-0.003061,0.045377,-0.024389,0.141532,-0.005064,-0.300343,0.507348,0.528632,19.2
-1.006443,0.168462,0.851637,-0.10584,0.161406,1.167235,0.914756,1.163012,-0.520758,-1.744008,1.422924,0.31464,0.346549,0.745336,-1.380207,0.45661,-0.557985,0.381289,-0.426211,-0.6306,-1.452918,0.67941,-1.133357,-0.294318,-0.037403,0.800058,0.81666,0.597542,-0.375894,0.719495,0.128795,0.215704,0.484675,0.601881,-0.009605,0.083316,0.078104,-0.047898,-0.090331,0.015287,-0.136999,0.247391,-0.133379,-0.717429,0.693365,0.311352,-0.093337,0.057725,-0.125918,-0.428628,-0.2626,19.2
-10.833743,7.372764,-4.947057,-3.133803,-4.825278,-6.884369,1.535713,-8.355881,4.961952,2.067978,0.413757,-1.632879,1.989758,0.026172,1.673494,-1.677761,-0.358038,-0.734432,0.194401,2.361995,-1.294872,-0.441659,-1.942957,1.321065,3.120462,-1.553879,-1.297079,1.56847,-1.546269,0.009544,-1.630643,-0.620856,1.245706,2.148703,1.998077,0.570041,-1.84244,1.065831,-0.285025,0.080363,0.222449,-0.657676,0.072971,-1.286615,-1.00431,1.2128,-0.06165,1.577518,2.158831,-1.266687,0.326947,19.2
-5.156687,5.774623,-3.845845,-3.797549,-3.044144,-5.205326,0.729158,-4.419758,4.219127,1.517296,0.740954,-1.188218,1.401794,1.289429,0.661614,-0.705736,-0.20594,-0.936546,-0.640552,1.254369,-1.156273,-0.478529,-0.973527,1.330181,1.825908,-1.101266,-0.560519,0.742733,-1.821237,0.006543,-1.558533,-0.090879,0.22581,1.041753,1.761218,0.162568,-2.105415,0.282274,0.420791,-0.490537,-0.993423,1.319551,0.154426,-1.523249,0.68924,0.768272,-0.772181,1.108429,1.048836,0.222431,0.650147,19.2
-12.740669,10.267183,-6.507692,-5.23614,-1.804006,-4.05508,2.566018,-7.285323,4.231883,1.76431,0.817961,2.151299,1.957719,-0.933938,1.452502,1.098684,1.682676,0.165768,-1.418673,0.968459,-0.501352,-0.238421,-1.232942,3.431987,1.637084,-2.577694,0.444869,3.0578,-1.38874,-0.110514,-1.646417,-0.633643,-0.601985,1.3542,3.121064,-1.212774,-2.156341,2.133532,1.533681,0.008229,-1.147387,-1.53631,0.765444,-2.1457,0.953813,1.789636,-1.502325,1.279916,0.185125,0.072335,-0.08925,19.2
-26.776254,12.609472,4.971175,-1.852223,7.0936,6.283445,0.825027,-3.233122,2.971719,4.028698,-2.454049,-1.786476,3.655788,-1.258939,-3.583678,2.928779,2.610466,-4.05048,-2.087868,-0.742505,1.495369,2.562378,-3.429796,3.776522,0.23317,0.094262,1.845642,-2.285971,-2.472668,-0.831849,5.717272,5.64469,0.585557,1.515029,-0.668037,-2.473846,0.604628,-0.813026,-0.391724,-3.487513,2.504316,-1.400094,-2.050094,0.039684,1.08139,1.013529,0.06381,-1.09715,1.964278,1.530549,0.92237,19.2
-8.172929,5.752116,-2.295398,-3.207751,-3.300142,-6.442216,1.574818,-4.308371,4.68924,1.730636,1.168724,-3.483565,1.851822,1.547716,-0.299325,-0.566284,-0.359877,-1.728807,-0.513461,1.184637,-2.62823,0.261537,-1.86601,1.527434,1.880589,-1.358162,-0.503981,1.672255,-0.980398,-0.498198,-1.137743,-0.629181,0.897526,-0.030869,2.185974,0.450339,-0.731466,1.411367,0.894889,-0.473247,-1.957081,0.75345,-0.935048,-1.597053,-0.214306,1.227652,-0.60343,0.943739,1.289265,-0.115191,1.387005,19.2
-24.827796,11.918049,-2.15823,2.288049,1.350395,9.071922,-0.01457,-6.228852,3.287599,2.446413,-1.174571,7.895394,-6.548258,-5.529944,8.049887,-4.090924,6.200883,-0.990383,1.236202,1.160176,-2.679479,-4.014795,0.48489,0.973395,-3.834334,-5.108145,-1.610462,0.225525,2.6705,4.627856,-1.617831,-1.954927,-0.498773,-2.279364,3.86242,0.235462,1.396555,0.919893,-1.478963,-1.674021,0.576664,0.092086,1.1774,0.822949,-1.479272,-0.330543,-0.310038,-0.413649,0.204574,0.911022,0.735107,19.2
-0.350363,3.629564,-4.076093,-2.501412,-2.521047,-1.525691,-0.405034,-1.286548,1.631052,0.435315,-0.719054,0.74129,-1.497098,0.589808,2.657442,-2.568639,-0.581058,-0.256214,0.807108,0.552932,0.290686,-0.356773,-1.064386,0.676293,0.4676,-0.432216,-1.125323,-1.909993,0.163531,0.529833,0.330956,-0.461505,0.03484,1.442942,0.147287,1.288608,-0.664152,-0.976866,-0.778212,-0.819831,2.180427,0.34851,-0.066599,0.893923,-0.756378,0.174486,-0.156335,0.120561,1.409139,-0.306758,0.8538,19.2
-9.916456,5.275748,-6.065071,-0.726203,-1.959275,9.10283,0.404781,-0.68814,1.307086,-0.275451,-1.225261,6.872097,-7.875314,-0.942735,7.476449,-5.339976,0.3083,1.056838,2.170755,0.885433,0.921414,-1.643649,-0.213744,1.417572,-2.317499,-0.464818,-1.245286,-5.254197,1.567538,3.335543,0.462442,-0.732854,-1.492519,2.433257,-0.437021,2.981721,0.022376,-1.036294,-0.148666,-0.638932,2.998411,0.202084,0.854807,3.797547,-0.035404,0.15103,-0.707963,-1.635494,1.706563,0.230862,0.152722,19.2
