Index,Output,Classification
0,26.0,2
1,18.8,0
2,20.2,0
3,28.0,1
4,28.0,2
5,27.4,3
6,27.6,2
7,26.0,3
8,18.899999618530273,4
9,26.0,2
10,28.0,3
11,20.100000381469727,0
12,30.350000381469727,5
13,27.399999618530273,4
14,27.8,2
15,26.0,4
16,28.299999237060547,0
17,26.0,2
18,28.0,3
19,20.8,0
20,27.8,3
21,26.0,3
22,27.8,3
23,27.8,2
24,27.6,3
25,19.100000381469727,4
26,29.899999618530273,4
27,28.450000762939453,0
28,28.0,2
29,27.0,4
30,27.5,4
31,19.100000381469727,4
32,22.75,4
33,26.0,3
34,26.0,4
35,27.4,3
36,18.799999237060547,4
37,23.5,0
38,27.6,2
39,28.2,2
40,27.8,3
41,26.0,2
42,29.899999618530273,4
43,25.2,0
44,26.0,2
45,28.0,3
46,17.6,3
47,26.0,3
48,26.2,2
49,36.599998474121094,0
50,23.5,4
51,26.0,3
52,22.0,0
53,36.599998474121094,0
54,23.5,4
55,28.2,2
56,26.0,2
57,28.2,2
58,26.0,3
59,34.150001525878906,0
60,25.2,0
61,31.399999618530273,4
62,27.6,2
63,27.6,2
64,24.100000381469727,4
65,23.75,4
66,27.8,2
67,26.600000381469727,0
68,28.0,2
69,32.70000076293945,4
70,23.799999237060547,4
71,33.400001525878906,4
72,28.299999237060547,0
73,26.0,2
74,28.299999237060547,4
75,27.8,3
76,28.299999237060547,4
77,27.6,3
78,20.8,0
79,26.0,2
80,28.0,3
81,32.650001525878906,0
82,28.0,2
83,21.5,4
84,34.150001525878906,0
85,20.100000381469727,4
86,26.2,3
87,27.0,4
88,32.650001525878906,4
89,23.75,4
90,28.0,1
91,31.649999618530273,4
92,28.0,3
93,27.8,3
94,21.6,0
95,20.100000381469727,4
96,26.649999618530273,4
97,26.649999618530273,4
98,26.0,3
99,27.8,3
100,28.0,3
101,21.6,0
102,34.79999923706055,0
103,20.2,0
104,28.0,2
105,26.0,3
106,27.8,3
107,29.500099182128906,5
108,26.0,3
109,19.100000381469727,0
110,25.200000762939453,4
111,27.8,2
112,23.500099182128906,0
113,23.5,4
114,28.0,2
115,26.2,3
116,28.0,3
117,28.2,2
118,26.2,3
119,34.150001525878906,0
120,19.100000381469727,4
121,34.79999923706055,0
122,27.8,3
123,26.0,3
124,28.0,3
125,26.0,2
126,34.599998474121094,0
127,26.2,3
128,21.6,0
129,26.0,2
130,26.0,1
131,26.2,2
132,28.0,2
133,28.0,3
134,27.6,1
135,21.6,0
136,34.20000076293945,0
137,23.5,0
138,18.799999237060547,4
139,26.0,2
140,25.209999084472656,0
141,26.600000381469727,4
142,33.400001525878906,0
143,26.600000381469727,0
144,28.0,1
145,28.0,2
146,26.0,3
147,27.8,2
148,27.5,4
149,30.350000381469727,5
150,21.6,0
