ProportionOfData,TrainingError,ValidationError
0.04,2.753511643,4.270746018
0.06,1.221462551,2.185156356
0.08,3.329472334,4.280885877
0.1,2.303002595,4.045155915
0.12,2.244794784,3.144884785
0.14,1.927335515,3.001102373
0.16,1.93758358,2.694779285
0.18,1.535464674,2.455706253
0.2,1.42910881,2.727009229
0.22,1.280300064,2.07783418
0.24,1.351598457,2.21342042
0.26,1.616003907,2.273256165
0.28,1.495078812,2.53958654
0.3,1.756329744,2.514015424
0.32,1.826825972,2.576397281
0.34,1.719298997,2.306202098
0.36,1.489012333,2.292229487
0.38,1.392449475,2.349941644
0.4,1.291246738,2.229316229
0.42,1.541295663,2.372184771
0.44,1.650716615,2.475962375
0.46,1.282998693,1.981104987
0.48,1.580274576,2.681578502
0.5,1.453082166,2.044803237
0.52,1.581867165,2.395632213
0.54,1.463896949,2.284185256
0.56,1.188690432,1.685469504
0.58,1.336676697,2.020670254
0.6,1.415868988,2.245901047
0.62,1.378420802,2.337572338
0.64,1.292249173,2.028558749
0.66,1.519222504,2.212732823
0.68,1.469509713,2.027648246
0.7,1.561512198,2.208717905
0.72,1.387901077,2.213691463
0.74,1.290768672,1.959066631
0.76,1.402885279,1.987089071
0.78,1.576267113,2.103489979
0.8,1.470857261,2.114392877
0.82,1.512738208,2.155491067
0.84,1.453926689,2.000126377
0.86,1.32651018,1.867738454
0.88,1.378339593,2.128204696
0.9,1.377653243,1.867132261
0.92,1.339418355,1.960957687
0.94,1.239158654,1.862165262
0.96,1.324422683,1.873626192
0.98,1.440436716,1.857281691
1,1.268455516,1.987452307
