InstanceIndex,Output,Classification
0,1.0,0
1,0.0,1
2,0.0,1
3,1.0,0
4,0.0,1
5,0.0,1
6,0.0,1
7,0.0,1
8,1.0,0
9,2.0,2
10,0.0,1
11,1.0,0
12,0.0,1
13,1.0,0
14,2.0,2
15,2.0,2
16,1.0,0
17,0.0,1
18,1.0,0
19,1.0,0
20,1.0,0
21,2.0,2
22,0.0,1
23,0.0,1
24,2.0,2
25,1.0,0
26,0.0,1
27,2.0,0
28,1.0,0
29,1.0,0
30,0.0,1
31,2.0,2
32,0.0,1
33,0.0,1
34,1.0,0
35,0.0,1
36,0.0,1
37,0.0,1
38,1.0,0
39,1.0,0
40,2.0,2
41,1.0,0
42,2.0,2
43,1.0,0
44,0.0,1
45,2.0,2
46,1.0,0
47,0.0,1
48,0.0,1
49,2.0,2
50,0.0,1
51,0.0,1
52,0.0,1
53,0.0,1
54,1.0,0
55,2.0,2
56,1.0,0
57,0.0,1
58,0.0,1
59,2.0,2
60,2.0,2
61,0.0,1
62,2.0,2
63,1.0,0
64,1.0,0
65,1.0,0
66,2.0,2
67,2.0,2
68,2.0,2
69,0.0,1
70,2.0,2
71,1.0,0
72,0.0,1
73,2.0,2
74,2.0,0
75,0.0,1
76,1.0,0
77,2.0,2
78,0.0,1
79,2.0,2
80,2.0,2
81,1.0,0
82,2.0,2
83,2.0,2
84,1.0,2
85,0.0,1
86,0.0,1
87,1.0,0
88,1.0,0
89,1.0,0
90,0.0,1
91,0.0,1
92,1.0,0
93,2.0,2
94,1.0,0
95,2.0,2
96,1.0,0
97,0.0,1
98,1.0,0
99,1.0,0
100,2.0,2
101,0.0,1
102,1.0,0
103,1.0,2
104,1.0,0
105,1.0,0
106,2.0,2
107,2.0,0
108,0.0,1
109,2.0,2
110,1.0,0
111,2.0,2
112,2.0,2
113,2.0,2
114,1.0,0
115,2.0,2
116,0.0,1
117,1.0,0
118,0.0,1
119,0.0,1
120,2.0,2
121,0.0,1
122,1.0,0
123,2.0,2
124,2.0,2
125,2.0,2
126,0.0,1
127,1.0,0
128,2.0,2
129,1.0,0
130,0.0,1
131,1.0,0
132,2.0,2
133,2.0,2
134,0.0,1
135,1.0,2
136,1.0,0
137,0.0,1
138,1.0,0
139,2.0,2
140,2.0,2
141,2.0,2
142,2.0,2
143,2.0,2
144,0.0,1
145,2.0,2
146,0.0,1
147,1.0,0
148,0.0,1
149,2.0,2
