InstanceIndex,Output,Classification
0,1.0,1
1,0.0,2
2,0.0,2
3,1.0,0
4,0.0,2
5,0.0,2
6,0.0,2
7,0.0,2
8,1.0,1
9,2.0,0
10,0.0,2
11,1.0,1
12,0.0,2
13,1.0,1
14,2.0,1
15,2.0,0
16,1.0,0
17,0.0,2
18,1.0,1
19,1.0,0
20,1.0,1
21,2.0,0
22,0.0,2
23,0.0,2
24,2.0,0
25,1.0,1
26,0.0,2
27,2.0,1
28,1.0,1
29,1.0,1
30,0.0,2
31,2.0,0
32,0.0,2
33,0.0,2
34,1.0,1
35,0.0,2
36,0.0,2
37,0.0,2
38,1.0,1
39,1.0,1
40,2.0,0
41,1.0,0
42,2.0,1
43,1.0,1
44,0.0,2
45,2.0,1
46,1.0,1
47,0.0,2
48,0.0,2
49,2.0,0
50,0.0,2
51,0.0,2
52,0.0,2
53,0.0,2
54,1.0,1
55,2.0,0
56,1.0,1
57,0.0,2
58,0.0,2
59,2.0,0
60,2.0,0
61,0.0,2
62,2.0,0
63,1.0,1
64,1.0,1
65,1.0,1
66,2.0,0
67,2.0,0
68,2.0,1
69,0.0,2
70,2.0,0
71,1.0,1
72,0.0,2
73,2.0,0
74,2.0,1
75,0.0,2
76,1.0,0
77,2.0,1
78,0.0,2
79,2.0,0
80,2.0,0
81,1.0,1
82,2.0,0
83,2.0,0
84,1.0,1
85,0.0,2
86,0.0,2
87,1.0,1
88,1.0,1
89,1.0,1
90,0.0,2
91,0.0,2
92,1.0,1
93,2.0,1
94,1.0,1
95,2.0,1
96,1.0,1
97,0.0,2
98,1.0,0
99,1.0,1
100,2.0,0
101,0.0,2
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,2.0,0
107,2.0,1
108,0.0,2
109,2.0,0
110,1.0,0
111,2.0,0
112,2.0,0
113,2.0,0
114,1.0,1
115,2.0,0
116,0.0,2
117,1.0,1
118,0.0,2
119,0.0,2
120,2.0,0
121,0.0,2
122,1.0,1
123,2.0,0
124,2.0,1
125,2.0,1
126,0.0,2
127,1.0,1
128,2.0,0
129,1.0,1
130,0.0,2
131,1.0,1
132,2.0,1
133,2.0,0
134,0.0,2
135,1.0,0
136,1.0,1
137,0.0,2
138,1.0,1
139,2.0,0
140,2.0,0
141,2.0,0
142,2.0,0
143,2.0,0
144,0.0,2
145,2.0,0
146,0.0,2
147,1.0,1
148,0.0,2
149,2.0,1
