InstanceIndex,Output,Classification
0,26.0,1
1,18.8,1
2,20.2,1
3,28.0,1
4,28.0,1
5,27.4,1
6,27.6,0
7,26.0,1
8,18.9,1
9,26.0,1
10,28.0,1
11,20.1,0
12,30.35,1
13,27.4,1
14,27.8,1
15,26.0,0
16,28.299999,0
17,26.0,1
18,28.0,0
19,20.8,1
20,27.8,0
21,26.0,0
22,27.8,1
23,27.8,0
24,27.6,1
25,19.1,1
26,29.9,0
27,28.450001,0
28,28.0,1
29,27.0,0
30,27.5,1
31,19.1,0
32,22.75,1
33,26.0,0
34,26.0,0
35,27.4,1
36,18.799999,1
37,23.5,0
38,27.6,1
39,28.2,1
40,27.8,0
41,26.0,1
42,29.9,0
43,25.2,1
44,26.0,1
45,28.0,1
46,17.6,0
47,26.0,1
48,26.2,1
49,36.599998,0
50,23.5,0
51,26.0,0
52,22.0,0
53,36.599998,1
54,23.5,1
55,28.2,0
56,26.0,1
57,28.2,0
58,26.0,1
59,34.150002,0
60,25.2,0
61,31.4,0
62,27.6,1
63,27.6,1
64,24.1,1
65,23.75,1
66,27.8,0
67,26.6,0
68,28.0,0
69,32.700001,1
70,23.799999,1
71,33.400002,0
72,28.299999,0
73,26.0,0
74,28.299999,0
75,27.8,0
76,28.299999,1
77,27.6,0
78,20.8,1
79,26.0,1
80,28.0,1
81,32.650002,0
82,28.0,1
83,21.5,0
84,34.150002,0
85,20.1,0
86,26.2,0
87,27.0,1
88,32.650002,0
89,23.75,1
90,28.0,1
91,31.65,0
92,28.0,1
93,27.8,1
94,21.6,1
95,20.1,0
96,26.65,1
97,26.65,1
98,26.0,0
99,27.8,1
100,28.0,1
101,21.6,1
102,34.799999,0
103,20.2,0
104,28.0,1
105,26.0,1
106,27.8,0
107,29.500099,0
108,26.0,0
109,19.1,0
110,25.200001,1
111,27.8,1
112,23.500099,0
113,23.5,1
114,28.0,1
115,26.2,0
116,28.0,1
117,28.2,0
118,26.2,1
119,34.150002,0
120,19.1,0
121,34.799999,0
122,27.8,1
123,26.0,0
124,28.0,1
125,26.0,0
126,34.599998,0
127,26.2,1
128,21.6,1
129,26.0,0
130,26.0,1
131,26.2,0
132,28.0,1
133,28.0,1
134,27.6,1
135,21.6,1
136,34.200001,0
137,23.5,0
138,18.799999,1
139,26.0,0
140,25.209999,0
141,26.6,0
142,33.400002,1
143,26.6,0
144,28.0,1
145,28.0,1
146,26.0,1
147,27.8,0
148,27.5,1
149,30.35,1
150,21.6,1
151,23.5,0
152,34.599998,0
153,28.0,1
154,28.0,0
155,21.6,1
156,32.700001,1
157,28.450001,1
158,26.0,0
159,28.0,0
160,18.1,1
161,26.0,0
162,16.8,1
163,26.0,1
164,23.5,0
165,20.75,0
166,25.8,0
167,28.0,0
168,28.450001,0
169,17.6,0
170,26.0,1
171,32.700001,0
172,19.85,0
173,26.0,1
174,26.0,0
175,26.6,0
176,27.8,1
177,36.599998,0
178,27.8,1
179,27.8,0
180,30.35,1
181,26.2,0
182,28.0,1
183,26.2,1
184,26.2,0
185,27.4,1
186,28.0,0
187,27.8,0
188,27.0,1
189,25.2,1
190,32.650002,0
191,22.000999,0
192,18.9,0
193,19.1,0
194,28.0,0
195,21.5,1
196,31.4,0
197,26.6,0
198,20.2,1
199,26.0,0
200,23.500099,1
201,26.0,1
202,26.0,0
203,27.6,0
204,28.0,0
205,32.549999,0
206,26.6,1
207,32.650002,0
208,27.6,1
209,27.8,0
210,26.2,0
211,27.8,1
212,25.2,1
213,25.2,1
214,28.0,1
215,18.799999,0
216,19.85,0
217,32.549999,0
218,34.799999,0
219,27.8,1
220,34.5,0
221,27.8,1
222,20.1,1
223,27.8,1
224,32.900002,1
225,20.8,1
226,28.0,0
227,28.0,0
228,36.599998,1
229,28.0,1
230,25.209999,0
231,26.0,1
232,27.8,1
233,28.0,0
234,23.500099,1
235,29.9,0
236,26.0,1
237,23.75,0
238,32.549999,0
239,22.000999,0
240,29.9,0
241,34.200001,0
242,28.0,0
243,28.450001,0
244,26.2,0
245,27.8,0
246,27.6,1
247,22.75,0
248,28.0,0
249,34.200001,0
250,18.8,0
251,26.0,1
252,26.2,1
253,27.5,1
254,27.8,1
255,27.8,0
256,28.0,0
257,24.700001,0
258,23.8,1
259,26.2,0
260,25.200001,0
261,25.2,0
262,28.0,0
263,22.000999,1
264,26.0,0
265,26.0,0
266,28.0,0
267,28.0,0
268,27.8,1
269,28.450001,1
270,28.450001,1
271,27.8,0
272,28.0,1
273,32.700001,1
274,25.200001,0
275,19.1,0
276,27.8,1
277,28.0,1
278,31.4,1
279,27.8,0
280,27.8,1
281,27.6,1
282,25.8,1
283,27.6,1
284,28.299999,0
285,19.1,1
286,29.9,0
287,21.5,1
288,27.8,1
289,33.5,1
290,28.0,0
291,18.799999,1
292,24.1,0
293,27.6,0
294,20.1,1
295,26.2,1
296,32.700001,0
297,28.0,0
298,23.8,1
299,27.8,1
300,28.0,1
301,23.500099,0
302,26.0,0
303,27.4,0
304,34.599998,0
305,28.450001,1
306,27.6,0
307,26.2,0
308,27.8,1
309,28.0,1
310,16.8,1
311,28.0,1
312,26.2,1
313,32.900002,0
314,27.8,1
315,30.35,0
316,32.700001,0
317,31.65,0
318,27.8,0
319,16.8,0
320,27.8,1
321,24.700001,0
322,34.5,0
323,25.8,0
324,27.8,1
325,28.450001,1
326,19.200001,1
327,20.75,0
328,18.9,0
329,27.5,1
330,27.8,1
331,27.8,1
332,28.0,1
333,26.0,1
334,32.900002,1
335,29.9,1
336,27.8,0
337,18.9,0
338,32.650002,0
339,16.8,1
340,27.8,0
341,34.5,0
342,22.75,1
343,28.0,1
344,28.0,0
345,27.6,1
346,28.0,0
347,20.2,0
348,25.2,1
349,30.35,1
350,27.8,1
351,26.0,1
352,31.4,0
353,28.2,1
354,26.0,0
355,27.6,1
356,29.9,0
357,21.5,0
358,28.0,1
359,19.5,1
360,26.2,0
361,24.700001,1
362,27.8,0
363,27.8,1
364,28.0,1
365,27.5,1
366,28.0,0
367,27.8,0
368,18.1,1
369,30.35,1
370,19.6,1
371,27.8,1
372,28.2,0
373,27.8,1
374,27.8,0
375,26.0,1
376,22.75,1
377,30.35,1
378,26.0,0
379,26.0,0
380,26.0,0
381,27.6,0
382,32.549999,0
383,26.0,0
384,27.4,0
385,34.200001,0
386,27.8,1
387,28.0,1
388,28.0,1
389,34.150002,0
390,28.0,1
391,21.6,1
392,27.8,0
393,27.8,1
394,28.0,1
395,26.2,0
396,28.0,1
397,27.0,0
398,27.8,1
399,28.450001,1
400,22.0,1
401,20.2,0
402,26.0,0
403,29.5,1
404,26.0,0
405,27.6,0
406,30.35,1
407,28.0,0
408,25.209999,0
409,26.6,0
410,26.0,0
411,33.400002,0
412,26.0,1
413,28.0,1
414,18.8,0
415,26.65,1
416,29.9,1
417,27.6,1
418,28.0,1
419,31.65,0
420,27.8,0
421,28.0,0
422,27.6,0
423,28.0,1
424,27.8,0
425,32.900002,1
426,20.1,1
427,18.8,1
428,26.0,1
429,27.6,1
430,28.2,1
431,34.200001,0
432,27.8,0
433,34.200001,1
434,27.8,1
435,28.0,1
436,28.299999,1
437,34.150002,1
438,27.8,0
439,27.6,1
440,31.4,1
441,25.2,1
442,30.35,1
443,27.8,0
444,26.2,1
445,32.549999,0
446,26.0,0
447,27.8,1
448,32.900002,1
449,28.0,1
450,32.900002,0
451,28.0,1
452,28.0,1
453,23.8,0
454,23.75,0
455,28.299999,0
456,19.5,1
457,18.1,1
458,26.0,0
459,26.0,1
460,34.5,1
461,27.8,0
462,27.8,1
463,23.799999,1
464,30.35,0
465,26.0,1
