InstanceIndex,Output,Classification
0,26.0,1
1,18.8,1
2,20.2,1
3,28.0,1
4,28.0,1
5,27.4,1
6,27.6,1
7,26.0,1
8,18.899999618530273,1
9,26.0,1
10,28.0,1
11,20.100000381469727,0
12,30.350000381469727,0
13,27.399999618530273,0
14,27.8,1
15,26.0,0
16,28.299999237060547,0
17,26.0,0
18,28.0,0
19,20.8,1
20,27.8,0
21,26.0,0
22,27.8,1
23,27.8,1
24,27.6,1
25,19.100000381469727,1
26,29.899999618530273,0
27,28.450000762939453,0
28,28.0,1
29,27.0,0
30,27.5,0
31,19.100000381469727,0
32,22.75,1
33,26.0,0
34,26.0,0
35,27.4,1
36,18.799999237060547,1
37,23.5,0
38,27.6,1
39,28.2,1
40,27.8,1
41,26.0,1
42,29.899999618530273,0
43,25.2,1
44,26.0,1
45,28.0,1
46,17.6,0
47,26.0,1
48,26.2,1
49,36.599998474121094,0
50,23.5,0
51,26.0,1
52,22.0,0
53,36.599998474121094,0
54,23.5,1
55,28.2,1
56,26.0,1
57,28.2,1
58,26.0,1
59,34.150001525878906,0
60,25.2,0
61,31.399999618530273,0
62,27.6,1
63,27.6,1
64,24.100000381469727,1
65,23.75,1
66,27.8,1
67,26.600000381469727,0
68,28.0,0
69,32.70000076293945,1
70,23.799999237060547,1
71,33.400001525878906,0
72,28.299999237060547,0
73,26.0,1
74,28.299999237060547,0
75,27.8,0
76,28.299999237060547,0
77,27.6,1
78,20.8,1
79,26.0,1
80,28.0,1
81,32.650001525878906,0
82,28.0,1
83,21.5,1
84,34.150001525878906,0
85,20.100000381469727,0
86,26.2,1
87,27.0,1
88,32.650001525878906,0
89,23.75,0
90,28.0,1
91,31.649999618530273,0
92,28.0,1
93,27.8,1
94,21.6,1
95,20.100000381469727,0
96,26.649999618530273,1
97,26.649999618530273,0
98,26.0,1
99,27.8,1
100,28.0,1
101,21.6,1
102,34.79999923706055,0
103,20.2,0
104,28.0,1
105,26.0,1
106,27.8,1
107,29.500099182128906,0
108,26.0,1
109,19.100000381469727,0
110,25.200000762939453,1
111,27.8,1
112,23.500099182128906,0
113,23.5,1
114,28.0,1
115,26.2,0
116,28.0,0
117,28.2,1
118,26.2,1
119,34.150001525878906,0
120,19.100000381469727,0
121,34.79999923706055,0
122,27.8,1
123,26.0,1
124,28.0,1
125,26.0,1
126,34.599998474121094,0
127,26.2,1
128,21.6,1
129,26.0,1
130,26.0,1
131,26.2,1
132,28.0,0
133,28.0,1
134,27.6,1
135,21.6,1
136,34.20000076293945,0
137,23.5,0
138,18.799999237060547,1
139,26.0,1
140,25.209999084472656,0
141,26.600000381469727,0
142,33.400001525878906,0
143,26.600000381469727,0
144,28.0,1
145,28.0,1
146,26.0,1
147,27.8,1
148,27.5,1
149,30.350000381469727,0
150,21.6,1
151,23.5,0
152,34.599998474121094,0
153,28.0,1
154,28.0,0
155,21.6,1
156,32.70000076293945,0
157,28.450000762939453,1
158,26.0,0
159,28.0,1
160,18.100000381469727,1
161,26.0,1
162,16.8,1
163,26.0,1
164,23.5,0
165,20.75,0
166,25.8,0
167,28.0,0
168,28.450000762939453,0
169,17.6,0
170,26.0,1
171,32.70000076293945,0
172,19.850000381469727,0
173,26.0,1
174,26.0,1
175,26.600000381469727,0
176,27.8,1
177,36.599998474121094,0
178,27.8,1
179,27.8,0
180,30.350000381469727,1
181,26.2,0
182,28.0,1
183,26.2,1
184,26.2,1
185,27.399999618530273,0
186,28.0,1
187,27.8,0
188,27.0,1
189,25.2,1
190,32.650001525878906,0
191,22.000999450683594,0
192,18.899999618530273,1
193,19.100000381469727,0
194,28.0,1
195,21.5,1
196,31.399999618530273,0
197,26.600000381469727,0
198,20.2,1
199,26.0,0
200,23.500099182128906,1
201,26.0,1
202,26.0,0
203,27.6,1
204,28.0,1
205,32.54999923706055,0
206,26.600000381469727,0
207,32.650001525878906,0
208,27.6,1
209,27.8,1
210,26.2,0
211,27.8,0
212,25.2,1
213,25.2,1
214,28.0,1
215,18.799999237060547,0
216,19.850000381469727,0
217,32.54999923706055,0
218,34.79999923706055,0
219,27.8,1
220,34.5,0
221,27.8,1
222,20.100000381469727,1
223,27.8,1
224,32.900001525878906,1
225,20.8,1
226,28.0,1
227,28.0,0
228,36.599998474121094,1
229,28.0,1
230,25.209999084472656,0
231,26.0,1
232,27.8,1
233,28.0,1
234,23.500099182128906,1
235,29.899999618530273,0
236,26.0,0
237,23.75,0
238,32.54999923706055,0
239,22.000999450683594,0
240,29.899999618530273,0
241,34.20000076293945,0
242,28.0,0
243,28.450000762939453,0
244,26.2,0
245,27.8,1
246,27.6,1
247,22.75,0
248,28.0,1
249,34.20000076293945,0
250,18.8,0
251,26.0,1
252,26.2,1
253,27.5,1
254,27.8,1
255,27.8,1
256,28.0,1
257,24.700000762939453,0
258,23.8,1
259,26.2,1
260,25.200000762939453,0
261,25.2,0
262,28.0,1
263,22.000999450683594,1
264,26.0,0
265,26.0,1
266,28.0,0
267,28.0,1
268,27.8,1
269,28.450000762939453,1
270,28.450000762939453,0
271,27.8,1
272,28.0,1
273,32.70000076293945,1
274,25.200000762939453,0
275,19.100000381469727,0
276,27.8,1
277,28.0,1
278,31.399999618530273,1
279,27.8,1
280,27.8,1
281,27.6,1
282,25.8,1
283,27.6,1
284,28.299999237060547,0
285,19.100000381469727,1
286,29.899999618530273,0
287,21.5,1
288,27.8,1
289,33.5,0
290,28.0,1
291,18.799999237060547,1
292,24.100000381469727,1
293,27.6,1
294,20.100000381469727,1
295,26.2,1
296,32.70000076293945,0
297,28.0,1
298,23.8,1
299,27.8,1
300,28.0,1
301,23.500099182128906,1
302,26.0,0
303,27.399999618530273,0
304,34.599998474121094,0
305,28.450000762939453,1
306,27.6,1
307,26.2,1
308,27.8,1
309,28.0,1
310,16.8,1
311,28.0,1
312,26.2,1
313,32.900001525878906,0
314,27.8,1
315,30.350000381469727,0
316,32.70000076293945,0
317,31.649999618530273,0
318,27.8,1
319,16.8,0
320,27.8,1
321,24.700000762939453,0
322,34.5,0
323,25.8,0
324,27.8,1
325,28.450000762939453,0
326,19.200000762939453,1
327,20.75,0
328,18.899999618530273,0
329,27.5,1
330,27.8,1
331,27.8,1
332,28.0,1
333,26.0,1
334,32.900001525878906,1
335,29.899999618530273,1
336,27.8,1
337,18.899999618530273,0
338,32.650001525878906,0
339,16.8,1
340,27.8,0
341,34.5,0
342,22.75,1
343,28.0,1
344,28.0,0
345,27.6,1
346,28.0,1
347,20.2,0
348,25.2,1
349,30.350000381469727,1
350,27.8,1
351,26.0,1
352,31.399999618530273,0
353,28.2,1
354,26.0,0
355,27.6,0
356,29.899999618530273,0
357,21.5,0
358,28.0,1
359,19.5,0
360,26.2,0
361,24.700000762939453,1
362,27.8,1
363,27.8,1
364,28.0,1
365,27.5,0
366,28.0,0
367,27.8,0
368,18.100000381469727,1
369,30.350000381469727,0
370,19.6,1
371,27.8,0
372,28.2,1
373,27.8,1
374,27.8,1
375,26.0,1
376,22.75,1
377,30.350000381469727,1
378,26.0,1
379,26.0,1
380,26.0,0
381,27.6,0
382,32.54999923706055,0
383,26.0,1
384,27.399999618530273,0
385,34.20000076293945,0
386,27.8,1
387,28.0,1
388,28.0,1
389,34.150001525878906,0
390,28.0,1
391,21.6,1
392,27.8,1
393,27.8,1
394,28.0,1
395,26.2,1
396,28.0,1
397,27.0,0
398,27.8,1
399,28.450000762939453,0
400,22.0,1
401,20.2,0
402,26.0,0
403,29.5,0
404,26.0,0
405,27.6,0
406,30.350000381469727,1
407,28.0,1
408,25.209999084472656,0
409,26.600000381469727,0
410,26.0,0
