InstanceIndex,Output,Classification
0,26.0,1
1,20.8,1
2,21.6,1
3,28.0,1
4,28.0,1
5,27.6,1
6,27.6,1
7,26.0,1
8,34.200001,1
9,34.200001,1
10,27.4,1
11,26.0,1
12,32.549999,1
13,18.8,1
14,29.5,1
15,27.8,1
16,26.0,1
17,31.4,1
18,26.0,1
19,28.0,1
20,25.2,1
21,27.8,1
22,26.2,1
23,27.8,1
24,34.200001,1
25,27.8,1
26,27.6,1
27,32.650002,1
28,25.209999,1
29,23.75,1
30,32.900002,1
31,33.400002,1
32,27.0,1
33,22.000999,1
34,26.0,1
35,26.2,1
36,28.299999,1
37,27.6,0
38,36.599998,1
39,30.35,0
40,27.8,1
41,27.8,0
42,26.0,1
43,18.1,1
44,26.0,1
45,26.0,1
46,28.0,1
47,20.2,1
48,26.0,1
49,26.2,0
50,28.450001,1
51,16.8,1
52,26.0,1
53,22.75,1
54,28.450001,0
55,30.35,1
56,26.0,1
57,26.0,1
58,19.1,0
59,26.0,1
60,31.65,0
61,19.200001,0
62,27.6,1
63,27.8,1
64,34.150002,1
65,16.8,1
66,27.8,1
67,29.9,0
68,28.0,1
69,19.85,1
70,26.6,1
71,27.4,1
72,31.4,1
73,26.2,0
74,31.4,1
75,27.8,1
76,31.4,1
77,27.6,0
78,25.2,1
79,28.299999,1
80,26.0,1
81,28.0,1
82,32.900002,0
83,28.0,1
84,22.0,1
85,19.1,0
86,32.549999,1
87,27.6,1
88,32.900002,1
89,32.900002,0
90,16.8,1
91,28.0,1
92,19.85,1
93,28.0,0
94,27.8,1
95,25.2,1
96,32.549999,1
97,34.599998,1
98,34.599998,1
99,26.0,1
100,27.8,1
101,28.0,1
102,25.2,1
103,23.5,1
104,23.8,1
105,28.0,1
106,19.200001,1
107,26.0,1
108,27.8,1
109,26.6,1
110,26.0,1
111,27.0,1
112,29.500099,1
113,27.8,1
114,31.65,1
115,30.35,0
116,28.0,1
117,27.4,1
118,28.0,1
119,27.6,1
120,19.1,1
121,27.0,1
122,23.5,1
123,27.8,1
124,26.2,1
125,28.0,0
126,26.2,1
127,20.1,1
128,27.6,1
129,25.8,1
130,26.0,1
131,26.2,1
132,27.6,1
133,28.0,1
134,28.0,0
135,27.8,0
136,25.2,1
137,23.500099,1
138,16.8,1
139,36.599998,1
140,26.0,1
141,26.65,1
142,29.9,1
143,20.75,1
144,29.9,1
145,28.0,1
146,28.0,1
147,26.0,1
148,27.8,1
149,33.400002,1
150,19.6,1
151,25.2,1
152,30.35,0
153,20.1,1
154,28.0,0
155,25.2,1
156,28.299999,1
157,19.85,1
158,23.75,1
159,26.0,1
160,33.400002,1
161,26.0,1
162,19.6,1
163,26.2,1
164,30.35,0
165,21.5,0
166,26.0,1
167,28.0,1
168,23.75,1
169,20.8,1
170,28.299999,1
171,26.0,0
172,19.1,1
173,23.799999,1
174,26.0,1
175,26.0,1
176,29.9,1
177,27.8,1
178,34.200001,1
179,28.450001,1
180,28.0,1
181,27.8,1
182,18.8,1
183,26.2,1
184,28.0,0
185,26.2,1
186,26.2,1
187,29.5,1
188,28.0,1
189,27.8,1
190,32.900002,0
191,26.0,1
192,32.900002,0
193,30.35,0
194,34.599998,1
195,32.650002,1
196,28.0,1
197,22.0,0
198,31.65,0
199,29.9,0
200,21.6,1
201,26.0,1
202,31.65,1
203,26.0,1
204,26.0,1
205,27.8,1
206,34.799999,1
207,29.9,1
208,32.900002,0
209,27.8,0
210,27.8,1
211,27.6,0
212,27.8,1
213,26.0,1
214,26.0,1
215,28.0,1
216,36.599998,1
217,27.0,1
218,28.450001,1
219,23.5,0
220,27.8,1
221,32.700001,1
222,27.8,1
223,32.549999,1
224,27.8,1
225,19.5,1
226,25.2,1
227,28.2,1
228,28.0,1
229,28.450001,1
230,28.0,1
231,18.9,1
232,26.2,0
233,27.8,1
234,28.0,1
235,31.65,0
236,18.1,1
237,26.0,1
238,16.8,1
239,28.450001,0
240,30.35,0
241,25.209999,1
242,31.4,1
243,28.0,1
244,23.5,1
245,27.6,1
246,34.200001,1
247,27.8,1
248,27.8,1
249,22.000999,1
250,28.0,1
251,23.500099,1
252,20.8,1
253,26.0,1
254,26.2,0
255,33.400002,1
256,28.0,0
257,27.8,1
258,28.0,1
259,26.65,1
260,25.8,1
261,26.2,1
262,29.500099,0
263,26.0,1
264,28.0,1
265,30.35,1
266,26.0,1
267,26.0,1
268,28.0,1
269,28.0,1
270,27.8,1
271,23.75,0
272,23.75,1
273,28.0,0
274,28.0,1
275,19.1,1
276,29.500099,0
277,32.650002,1
278,27.8,1
279,28.0,1
280,31.65,0
281,27.8,1
282,27.8,0
283,27.8,1
284,26.0,1
285,27.8,1
286,31.4,0
287,27.0,1
288,27.5,1
289,22.0,1
290,27.8,1
291,28.299999,1
292,34.5,1
293,36.599998,0
294,34.150002,1
295,27.8,1
296,32.549999,1
297,27.6,1
298,19.85,1
299,25.8,1
300,28.0,1
301,28.0,1
302,31.65,0
303,26.2,1
304,20.1,1
305,20.1,1
306,23.75,1
307,27.8,1
308,27.6,1
309,27.8,1
310,28.0,1
311,20.2,1
312,28.0,1
313,27.6,1
314,19.5,1
315,27.8,1
316,17.6,1
317,19.1,0
318,25.200001,1
319,27.8,1
320,20.2,0
321,27.8,1
322,20.75,1
323,32.700001,1
324,26.0,1
325,27.8,1
326,23.75,1
327,33.5,1
328,21.5,1
329,34.599998,1
330,33.400002,1
331,28.0,1
332,28.0,0
333,28.0,1
334,26.2,1
335,19.5,1
336,27.5,0
337,27.8,1
338,34.599998,1
339,29.9,1
340,20.2,1
341,27.8,1
342,32.700001,1
343,22.000999,1
344,28.0,1
345,28.0,1
346,27.8,1
347,28.0,1
348,23.8,0
349,26.0,0
350,19.6,1
351,27.8,0
352,26.0,1
353,24.1,0
354,26.2,1
355,27.8,0
356,27.5,1
357,22.0,1
358,28.0,1
359,25.209999,1
360,27.6,1
361,26.65,1
362,28.0,1
363,27.8,1
364,28.0,1
365,33.400002,1
366,28.0,1
367,27.8,1
368,18.9,0
369,16.8,1
370,21.6,1
371,28.0,0
372,27.8,1
373,27.8,1
374,26.2,1
375,22.000999,1
376,18.8,1
377,26.2,0
378,26.0,0
379,34.200001,1
380,26.2,1
381,27.8,1
382,28.450001,1
383,26.0,0
384,29.5,1
385,23.500099,1
386,27.8,1
387,28.0,1
388,28.299999,0
389,28.0,1
390,19.1,1
391,28.2,1
392,25.2,1
393,27.8,1
394,27.8,1
395,28.0,1
396,27.4,1
397,28.0,1
398,32.900002,1
399,27.8,1
400,23.75,1
401,22.75,1
402,23.6,1
403,26.0,1
404,22.0,1
405,26.2,1
406,27.6,1
407,18.8,1
408,28.0,1
409,26.65,1
410,29.9,1
411,26.0,0
412,20.75,1
413,26.0,1
414,28.0,1
415,28.299999,1
416,20.8,0
417,34.599998,1
418,27.5,1
419,27.8,1
420,28.0,1
421,25.200001,1
422,28.0,1
423,28.0,1
424,27.8,1
425,19.200001,0
426,28.0,1
427,27.8,1
428,19.5,0
429,32.549999,0
430,20.8,1
431,26.2,0
432,27.8,1
433,31.4,1
434,27.8,0
435,31.4,1
436,27.8,0
437,28.0,1
438,31.4,1
439,19.1,1
440,28.0,1
441,27.8,0
442,31.65,0
