InstanceIndex,Output,Classification
0,0.0,1
1,2.0,2
2,1.0,0
3,0.0,1
4,1.0,0
5,0.0,1
6,1.0,0
7,0.0,1
8,0.0,1
9,1.0,0
10,0.0,1
11,1.0,0
12,2.0,2
13,0.0,1
14,1.0,0
15,2.0,2
16,1.0,0
17,1.0,0
18,2.0,0
19,2.0,2
20,0.0,1
21,0.0,1
22,1.0,2
23,2.0,2
24,2.0,2
25,2.0,2
26,1.0,0
27,1.0,0
28,0.0,1
29,0.0,1
30,2.0,2
31,0.0,1
32,0.0,1
33,2.0,0
34,2.0,2
35,2.0,0
36,0.0,1
37,1.0,0
38,2.0,2
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,2.0,2
44,0.0,1
45,1.0,2
46,0.0,1
47,1.0,0
48,0.0,1
49,2.0,2
50,0.0,1
51,2.0,2
52,2.0,2
53,1.0,0
54,2.0,2
55,0.0,1
56,0.0,1
57,1.0,0
58,1.0,0
59,1.0,0
60,1.0,2
61,0.0,1
62,1.0,2
63,0.0,1
64,0.0,1
65,1.0,0
66,1.0,0
67,2.0,2
68,2.0,0
69,1.0,0
70,1.0,2
71,1.0,0
72,2.0,2
73,2.0,2
74,2.0,0
75,1.0,0
76,0.0,1
77,0.0,1
78,0.0,1
79,2.0,0
80,1.0,2
81,0.0,1
82,1.0,0
83,1.0,0
84,0.0,1
85,1.0,0
86,0.0,1
87,2.0,0
88,2.0,0
89,2.0,2
90,1.0,2
91,1.0,0
92,0.0,1
93,0.0,1
94,2.0,0
95,2.0,2
96,0.0,1
97,2.0,0
98,1.0,0
99,1.0,0
100,1.0,0
101,2.0,2
102,2.0,0
103,0.0,1
104,1.0,0
105,2.0,2
106,1.0,0
107,1.0,0
108,2.0,0
109,2.0,2
110,2.0,0
111,1.0,2
112,2.0,0
113,2.0,2
114,2.0,2
115,1.0,0
116,2.0,2
117,1.0,0
118,0.0,1
119,2.0,2
120,0.0,1
121,1.0,2
122,1.0,0
123,2.0,2
124,0.0,1
125,1.0,0
126,2.0,0
127,2.0,2
128,1.0,0
129,0.0,1
130,0.0,1
131,0.0,1
132,2.0,2
133,1.0,2
134,2.0,2
135,2.0,2
136,1.0,0
137,2.0,0
138,0.0,1
139,0.0,1
140,0.0,1
141,0.0,1
142,2.0,2
143,0.0,1
144,1.0,2
145,0.0,1
146,1.0,0
147,0.0,1
148,2.0,2
149,1.0,0
