InstanceIndex,Output,Classification
0,26.0,1
1,20.8,0
2,21.6,0
3,28.0,0
4,28.0,0
5,27.6,1
6,27.6,0
7,26.0,0
8,34.200001,0
9,34.200001,0
10,27.4,0
11,26.0,0
12,32.549999,0
13,18.8,1
14,29.5,0
15,27.8,0
16,26.0,1
17,31.4,0
18,26.0,0
19,28.0,0
20,25.2,0
21,27.8,0
22,26.2,1
23,27.8,0
24,34.200001,0
25,27.8,0
26,27.6,1
27,32.650002,0
28,25.209999,0
29,23.75,0
30,32.900002,0
31,33.400002,0
32,27.0,0
33,22.000999,0
34,26.0,1
35,26.2,0
36,28.299999,0
37,27.6,0
38,36.599998,0
39,30.35,0
40,27.8,0
41,27.8,1
42,26.0,1
43,18.1,0
44,26.0,1
45,26.0,0
46,28.0,1
47,20.2,0
48,26.0,0
49,26.2,1
50,28.450001,0
51,16.8,0
52,26.0,0
53,22.75,0
54,28.450001,0
55,30.35,0
56,26.0,0
57,26.0,0
58,19.1,0
59,26.0,0
60,31.65,0
61,19.200001,0
62,27.6,1
63,27.8,1
64,34.150002,0
65,16.8,0
66,27.8,0
67,29.9,0
68,28.0,0
69,19.85,0
70,26.6,0
71,27.4,0
72,31.4,0
73,26.2,0
74,31.4,0
75,27.8,0
76,31.4,0
77,27.6,0
78,25.2,0
79,28.299999,0
80,26.0,0
81,28.0,1
82,32.900002,0
83,28.0,0
84,22.0,0
85,19.1,0
86,32.549999,0
87,27.6,0
88,32.900002,0
89,32.900002,0
90,16.8,0
91,28.0,0
92,19.85,0
93,28.0,1
94,27.8,1
95,25.2,0
96,32.549999,0
97,34.599998,0
98,34.599998,0
99,26.0,0
100,27.8,1
101,28.0,0
102,25.2,0
103,23.5,0
104,23.8,0
105,28.0,0
106,19.200001,0
107,26.0,0
108,27.8,1
109,26.6,0
110,26.0,1
111,27.0,0
112,29.500099,0
113,27.8,0
114,31.65,0
115,30.35,0
116,28.0,0
117,27.4,0
118,28.0,0
119,27.6,0
120,19.1,0
121,27.0,0
122,23.5,0
123,27.8,1
124,26.2,0
125,28.0,0
126,26.2,0
127,20.1,0
128,27.6,0
129,25.8,0
130,26.0,0
131,26.2,1
132,27.6,0
133,28.0,0
134,28.0,0
135,27.8,0
136,25.2,0
137,23.500099,0
138,16.8,0
139,36.599998,0
140,26.0,0
141,26.65,0
142,29.9,0
