ProportionOfData,TrainingError,ValidationError
0.02,0.03614667436066185,0.10992315169674739
0.04,0.026084950157134912,0.11419725999071449
0.06,0.03098106841606859,0.11826609305140075
0.08,0.020165906902332238,0.09077854499899758
0.1,0.08585958933758625,0.17462206073843162
0.12,0.11307082770052741,0.15729343277667057
0.14,0.07568749014791129,0.17637154539460204
0.16,0.1177483117240099,0.14630488532097363
0.18,0.08585575826322606,0.1525786894450645
0.2,0.12046453860931833,0.14204317331904198
0.22,0.10227833188674765,0.15158654463662202
0.24,0.1265503970988326,0.1460006299319828
0.26,0.13170567055937565,0.1586731355023001
0.28,0.14074686607436676,0.15645622255383096
0.3,0.14069607869140718,0.167912142545545
0.32,0.14339607708798252,0.16425511332973985
0.34,0.1761850387957224,0.1960858826201176
0.36,0.11588986170858186,0.12658695334616724
0.38,0.14164974896864516,0.16184380209215732
0.4,0.1385515596011238,0.15562342365564044
0.42,0.12080897322595315,0.1469968613128908
0.44,0.11997772020337,0.14556455959788245
0.46,0.14294505079070344,0.1573290258869698
0.48,0.13654884367200654,0.14271929816119472
0.5,0.12331927323317823,0.14112541362938708
0.52,0.128747742507958,0.13978376170930057
0.54,0.1414435870277096,0.14145987334859475
0.56,0.12504075031623385,0.13679353337064876
0.58,0.16035567919111665,0.1681754704539611
0.6,0.12464103340934284,0.13263006946679723
0.62,0.1556068426510379,0.16402874521966035
0.64,0.1388106039241034,0.14978169055310772
0.66,0.13766666634253058,0.14805501090859594
0.68,0.144616557562925,0.1575829155635214
0.7,0.13742735713192458,0.14469298829187105
0.72,0.1455716532334389,0.1475359159845824
0.74,0.15484393213746098,0.1610760267895826
0.76,0.15011716677253364,0.1541679357811299
0.78,0.14725102484134378,0.151276789399187
0.8,0.13926581686675948,0.1461254074989893
0.82,0.13635003010834032,0.14430169538811843
0.84,0.14820734311992823,0.1575907975907121
0.86,0.13257965088630752,0.14438313202966768
0.88,0.1506286646564706,0.15798339925729543
0.9,0.14247805210038111,0.14780544225412431
0.92,0.14661001959008832,0.15609663379647054
0.94,0.1360732889685022,0.143140817862823
0.96,0.14168787510892927,0.1455914959095857
0.98,0.13340744415214964,0.14039368573038868
1.0,0.14394003902402633,0.14642090041902522
