ProportionOfData,TrainingError,ValidationError
0.02,0.030198690456918274,0.06679522685759483
0.04,0.02864569589003924,0.08465121874404437
0.06,0.044445646447638334,0.11759016566964653
0.08,0.03226492002032895,0.09205032741222166
0.1,0.030674334209930074,0.10269249798368127
0.12,0.02488888982934553,0.09498543511320366
0.14,0.02025836682782982,0.10108978368186296
0.16,0.018210716225927192,0.1317006409216734
0.18,0.020151365951311024,0.08351401573921938
0.2,0.025744814866885457,0.100343257919083
0.22,0.043947816063197455,0.10167838599241696
0.24,0.01700405900881742,0.08527562504760032
0.26,0.018605077082260633,0.11335872254892834
0.28,0.05364633484060741,0.1044033710576016
0.3,0.03360123121834367,0.08671345196908184
0.32,0.034129894332690834,0.10668891897618386
0.34,0.023685685439741443,0.09478223576596913
0.36,0.08861391539044436,0.12384360719683152
0.38,0.028543249558336686,0.0801408430199112
0.4,0.05870095251628024,0.11473770525266501
0.42,0.06621048580828717,0.11513639023168719
0.44,0.08742572029310869,0.1300804759881328
0.46,0.04622143184712968,0.0969518748609363
0.48,0.0577557144300795,0.1119566251279597
0.5,0.053464419443576015,0.12276421313486859
0.52,0.06955165277140261,0.10906589392090837
0.54,0.07496356485425221,0.10447175088115507
0.56,0.061380035456741255,0.1150150729229733
0.58,0.056165789744593776,0.09564240065410361
0.6,0.06905718849806047,0.09985833346330193
0.62,0.08235747491475036,0.11846553328293363
0.64,0.08799746118878575,0.1250600861610343
0.66,0.08841104822633358,0.11969336717939205
0.68,0.05913960604179804,0.09501279307052557
0.7,0.06639276899957887,0.11041944681984253
0.72,0.08118333756184211,0.1123798449830719
0.74,0.06323226219209664,0.10346659103659255
0.76,0.09351585558097483,0.1124293729783551
0.78,0.07656523053885231,0.111414347413079
0.8,0.12381054805104909,0.13457388482398255
0.82,0.06830810337724424,0.10266115340786408
0.84,0.07992586133783544,0.0957095700139666
0.86,0.08654948324171181,0.11059813308301526
0.88,0.08859126369549507,0.11677780421357326
0.9,0.08826223808354385,0.11230292844644364
0.92,0.13252825229927592,0.15636789088853248
0.94,0.06939232986263216,0.1011367785934658
0.96,0.0757601717907418,0.09880858502692692
0.98,0.09930470676706757,0.1254114742900211
1.0,0.0801953685173819,0.10867551508135889
