ProportionOfData,TrainingError,ValidationError
0.02,0.15599103489141822,0.1697005589362455
0.04,0.10213853075788197,0.2040212569609847
0.06,0.11232029207140481,0.1454718908292137
0.08,0.13969534352667007,0.169579176986288
0.1,0.1253016919705568,0.17058532582915606
0.12,0.1219187957251087,0.171619268509226
0.14,0.13572120156032472,0.1547624812027367
0.16,0.14329151066829926,0.20366639285488192
0.18,0.14113827951344426,0.16002876917562306
0.2,0.1631586633973353,0.1826415259564283
0.22,0.10604601440790112,0.13790854994766732
0.24,0.18386305579035553,0.21338804752281165
0.26,0.1617359594815882,0.176120684670579
0.28,0.19951161842014625,0.2126420954197134
0.3,0.16242290175629642,0.17265958406094936
0.32,0.15631312943449965,0.16645890701004543
0.34,0.1284613851903287,0.15452212011915126
0.36,0.12840930494463765,0.1582021280902899
0.38,0.14330530593854246,0.1584562916875506
0.4,0.14882416976260265,0.15880818230035557
0.42,0.1791732313525867,0.187380322305791
0.44,0.17510994746586284,0.18790549892178035
0.46,0.196534301810272,0.20268743683167975
0.48,0.18856384863612283,0.2040593765046218
0.5,0.16528487618836782,0.1744055609380073
0.52,0.21463565296448994,0.2156267791765544
0.54,0.1582749032825614,0.16556910150413237
0.56,0.16527461455897394,0.1697248748941239
0.58,0.1406002106968185,0.16188780290348276
0.6,0.19996664530508876,0.20477825887266043
0.62,0.1255716722783294,0.1392119562660909
0.64,0.18058463726723253,0.18692702606875689
0.66,0.1667194253460302,0.18209231330605338
0.68,0.15105624909861437,0.16355531522731712
0.7,0.13319205874394802,0.14752242714784897
0.72,0.1483305943205527,0.15759294478193908
0.74,0.20811836651321786,0.21182619268479172
0.76,0.23803969103990336,0.23637884280260113
0.78,0.14170990739828732,0.15188063940869706
0.8,0.1607521207803839,0.16569160665003851
0.82,0.1536153701371943,0.16105632323792107
0.84,0.1934455485200302,0.19505167245819047
0.86,0.19193762818435986,0.1936469300675749
0.88,0.19961995681079353,0.19738134071767596
0.9,0.14906681472601857,0.16030516774365527
0.92,0.22253859154852407,0.22529887332360157
0.94,0.1865742119751582,0.19492280803683928
0.96,0.20478341435346573,0.20892241875502765
0.98,0.17719297372371248,0.18063584260287255
1.0,0.1708481833204941,0.17808592792359898
