ProportionOfData,TrainingError,ValidationError
0.02,0.036642265910565935,0.2024898182555174
0.04,0.08009026767310269,0.25188281469078744
0.06,0.03543667020783282,0.16317152740799476
0.08,0.05029371489205792,0.12967957764978014
0.1,0.08126313715015987,0.11971005892758065
0.12,0.059198843933397687,0.09150687061728868
0.14,0.05119231475202052,0.09118127989698964
0.16,0.11679855937678275,0.1816498935868908
0.18,0.08756109000113932,0.11648493976243407
0.2,0.0937835447072168,0.14626529612130312
0.22,0.07474093908593128,0.12320679584890659
0.24,0.08790514983602427,0.13678114723509954
0.26,0.08001645762772897,0.127735236915895
0.28,0.10175662278854107,0.14379477050396108
0.3,0.07857581123796611,0.11116198775227969
0.32,0.11722004936375106,0.1435250748892836
0.34,0.1291129288578276,0.14968462128555537
0.36,0.08810601028708191,0.11825591746917416
0.38,0.07113936560997167,0.09564224240862594
0.4,0.08495325529034407,0.12242246715455772
0.42,0.10863314365554602,0.13878641920609128
0.44,0.06963499973899154,0.11352740059611101
0.46,0.1259717973298713,0.14476551833943033
0.48,0.10520006526281968,0.13209550307252227
0.5,0.12028724651703962,0.14238898786796017
0.52,0.10354403440121938,0.12437650864183965
0.54,0.12399967678031106,0.13293279737871336
0.56,0.11293873243119501,0.1320850118313291
0.58,0.09556122231876074,0.12831505003293503
0.6,0.11285384370386889,0.12825120773966808
0.62,0.10617430938549215,0.11839820511821883
0.64,0.11402061853753308,0.13183172268225585
0.66,0.10598905959734972,0.12168958342832775
0.68,0.11295493161493539,0.1353418176250775
0.7,0.10938172546756558,0.12547485572382164
0.72,0.13341614270390098,0.1406984000667106
0.74,0.13403767300222152,0.1449543098254778
0.76,0.10991863973939836,0.12409657565737225
0.78,0.13799124329243873,0.15793725540247558
0.8,0.10111791513104454,0.11739252205685823
0.82,0.11599189258842382,0.1334143879118185
0.84,0.11349638458077914,0.13313964321793442
0.86,0.10328478199645888,0.12118543554319883
0.88,0.11401835931541986,0.12261834267183273
0.9,0.11769311455705002,0.1350557461970482
0.92,0.09978021611327284,0.11850688778343924
0.94,0.12662685111795605,0.14324881920389068
0.96,0.1335698389017727,0.1400428483451044
0.98,0.11044174396732208,0.11926297557501646
1.0,0.11158163537416742,0.1259312237130567
