HiddenLayerLength,TrainingError,ValidationError
2,2.423394481679937,2.630085114783734
3,2.350731071328742,2.5717905044650746
4,2.3947642615454483,2.560925987786203
5,2.1842734990972494,2.5009318967640324
6,2.0265617944460286,2.3153557301471155
7,2.242392598181519,2.5163442472365882
8,1.9665546169296055,2.484446070122729
9,1.7656369183341651,2.1373191462282124
10,1.7142320264746969,2.188890612285262
11,1.9964687722864984,2.444769364155713
12,1.99941692763297,2.4292773066488222
13,1.9873476485669426,2.4421321590170577
14,1.9830160211059735,2.441908558034003
15,2.147784158462996,2.611566227646033
16,2.265007606047092,2.7304705142967785
17,2.2705801919144553,2.7775280637307116
18,2.5352233808964137,3.0033531587245266
19,2.362209772070664,2.9940946659672845
20,2.177842522762897,2.559834634603791
21,2.4601637992639125,2.899860945003607
