TrainingErrorThreshold,TrainingError,ValidationError
0.5,11.87107566709079,11.871706133361718
0.25,12.335754248174126,12.336673581938658
0.125,7.584947546230744,7.435515024157186
0.0625,8.897134874952163,8.654468969233077
0.03125,4.669141349790661,4.7275973916148
0.015625,2.745679078592327,2.8289366228025887
0.0078125,2.1470386115765967,2.1205427636748455
0.00390625,1.6187553999260154,1.7843671020723229
0.001953125,1.535047819156413,1.8647028905093115
9.765625E-4,1.759759227687827,1.896229095036017
