TrainingErrorThreshold,TrainingError,ValidationError
0.5,10.192029027733478,10.050143156608618
0.25,10.521399115074809,10.491330489029389
0.125,8.284249793591647,8.033912009213036
0.0625,7.889911465775487,7.733532470804683
0.03125,5.578971140071255,5.687025905672251
0.015625,5.600490273569736,5.6041230180909185
0.0078125,5.922934005805182,5.851594904229323
0.00390625,7.015300902351538,7.2690530306415155
0.001953125,8.731667416790112,8.83534026732892
9.765625E-4,6.685065345767322,6.840969786352865
