ProportionOfData,TrainingError,ValidationError
0.04,0.0,0.10000000000000002
0.06,0.0,0.0
0.08,0.0,0.18333333333333335
0.1,0.018518518518518517,0.19999999999999998
0.12,0.015435606060606061,0.03333333333333333
0.14,0.02382645803698435,0.09500000000000001
0.16,0.004651162790697674,0.039999999999999994
0.18,0.018537414965986394,0.02
0.2,0.016666666666666663,0.03333333333333333
0.22,0.013502824858757062,0.05714285714285714
0.24,0.02153846153846154,0.05714285714285714
0.26,0.021348088531187123,0.039285714285714285
0.28,0.017192982456140347,0.03611111111111111
0.3,0.030864197530864196,0.1
0.32,0.020850040096230954,0.04111111111111112
0.34,0.025059722885809845,0.058181818181818196
0.36,0.015432358510414476,0.046363636363636364
0.38,0.007795545402627069,0.025757575757575757
0.4,0.016666666666666666,0.03333333333333334
0.42,0.013219996894892097,0.05641025641025641
0.44,0.015987751032616432,0.03021978021978022
0.46,0.024161290322580645,0.05934065934065934
0.48,0.017757901013714966,0.035238095238095235
0.5,0.01925925925925926,0.05333333333333333
0.52,0.01780141843971631,0.05083333333333334
0.54,0.007534246575342465,0.03088235294117647
0.56,0.02511327988846288,0.030147058823529412
0.58,0.026167728237791933,0.028758169934640528
0.6,0.02037037037037037,0.03333333333333333
0.62,0.020305816937553466,0.02660818713450292
0.64,0.016198413765291034,0.015789473684210527
0.66,0.02580817274496265,0.04078947368421052
0.68,0.02068781183178902,0.024761904761904763
0.7,0.02275132275132275,0.02857142857142857
0.72,0.013891091726143272,0.028354978354978355
0.74,0.012017587939698492,0.04090909090909091
0.76,0.019500355197726735,0.030434782608695657
0.78,0.020882419318438275,0.017028985507246377
0.8,0.016203703703703703,0.024999999999999998
0.82,0.010876182640888524,0.028833333333333336
0.84,0.014999415227476512,0.031846153846153843
0.86,0.018947017907355337,0.03076923076923077
0.88,0.01936673403538631,0.03034188034188034
0.9,0.014814814814814815,0.025925925925925925
0.92,0.01610312216608369,0.02857142857142857
0.94,0.011428215741806977,0.02105911330049261
0.96,0.013504603504603504,0.017241379310344827
0.98,0.012096912521440824,0.0203448275862069
1.0,0.015555555555555557,0.026666666666666665
