ProportionOfData,TrainingError,ValidationError
0.08,0.0,0.35
0.1,0.0,0.05000000000000001
0.12,0.01764705882352941,0.0
0.14,0.0,0.049999999999999996
0.16,0.013852813852813853,0.049999999999999996
0.18,0.004166666666666667,0.15
0.2,0.0,0.06666666666666667
0.22,0.0034482758620689655,0.03333333333333333
0.24,0.00918560606060606,0.075
0.26,0.02,0.024999999999999998
0.28,0.02382645803698435,0.085
0.3,0.009817073170731707,0.045000000000000005
0.32,0.004651162790697674,0.039999999999999994
0.34,0.015265700483091787,0.09999999999999999
0.36,0.012329931972789114,0.09666666666666666
0.38,0.01557315233785822,0.05333333333333334
0.4,0.02222222222222222,0.049999999999999996
0.42,0.007017543859649122,0.02857142857142857
0.44,0.018531073446327682,0.03095238095238095
0.46,0.014464925755248336,0.12142857142857143
0.48,0.01697115384615385,0.02857142857142857
0.5,0.014793678665496048,0.06607142857142857
0.52,0.01851106639839034,0.07678571428571428
0.54,0.01508751902587519,0.037500000000000006
0.56,0.01587719298245614,0.07222222222222223
0.58,0.01788380395975333,0.07916666666666666
0.6,0.018518518518518517,0.05555555555555555
0.62,0.01790017211703959,0.05444444444444445
0.64,0.01967388398823844,0.06111111111111112
0.66,0.02358302122347066,0.06
0.68,0.02179885332059245,0.02909090909090909
0.7,0.01799552071668533,0.028181818181818183
0.72,0.021617925520723755,0.06545454545454545
0.74,0.018,0.05378787878787879
0.76,0.019493622691795165,0.025757575757575757
0.78,0.013288409703504046,0.07045454545454545
0.8,0.021296296296296296,0.06666666666666667
0.82,0.015471226021684738,0.06602564102564103
0.84,0.01940692439062257,0.0467948717948718
0.86,0.01808134394341291,0.03846153846153846
0.88,0.015147414898162655,0.05274725274725275
0.9,0.01646795827123696,0.07417582417582418
0.92,0.02172258064516129,0.06593406593406594
0.94,0.01812898387701537,0.05714285714285714
0.96,0.015402504472271913,0.03476190476190476
0.98,0.0173900660742766,0.019999999999999997
1.0,0.018518518518518517,0.04
