ProportionOfData,TrainingError,ValidationError
0.04,1.3719601648505277,2.531158397735679
0.06,1.642716869723161,2.5601618119516134
0.08,1.6861534249221342,2.603765923591652
0.1,2.877539067882886,3.570263126265007
0.12,1.9324640112383349,2.610754333747537
0.14,1.4392334972949286,1.944592509824887
0.16,1.3018074785678555,2.432940487196479
0.18,1.4970033959013545,2.5017901838106256
0.2,1.7328967774725645,2.7698619681705154
0.22,1.638308577852614,2.88321479079324
0.24,1.3741952402610915,1.9732983339971861
0.26,1.926638266256176,3.055791918769466
0.28,1.6346314108852957,2.5571443520444253
0.3,1.3680585091146786,1.9659272524741618
0.32,1.7726112447491364,2.4741004519550693
0.34,1.2007822295091293,2.1856182893011455
0.36,1.622098051899261,2.2912597386070974
0.38,1.5403244731135093,2.1873198095663726
0.4,1.3274773639287198,2.0241091141401637
0.42,1.7640383521745777,2.6188792311808897
0.44,1.4426316557524195,2.283765091968455
0.46,1.6240781232328256,2.278337629199355
0.48,1.334230125324432,2.107601744970007
0.5,1.5222289938482692,2.334920580884809
0.52,1.6061451248702818,2.222848518658187
0.54,1.4595331652834742,2.0532712110304527
0.56,1.5185132629916702,2.145972670784375
0.58,1.441698470179367,1.9973114746203304
0.6,1.3733236153097261,1.9642597942881466
0.62,1.4545427586423385,2.0949229035635453
0.64,1.4823273740400895,2.092422910950633
0.66,1.2875251131978094,2.224796988586807
0.68,1.2566382737556494,2.1416369236990787
0.7,1.3762653536818403,2.1902353958289265
0.72,1.3498088187086168,1.9768727738260385
0.74,1.2539768602090036,2.013210473920793
0.76,1.3485780417411781,1.9311317154191872
0.78,1.5287474150090055,2.03041274035794
0.8,1.2524073113910374,2.0721785551626044
0.82,1.4004283765363288,2.0938261075191242
0.84,1.4051736584705528,1.9956080955081752
0.86,1.276479110788708,1.7907941204221742
0.88,1.411822129392988,2.0430364074339833
0.9,1.3598982515267208,2.066514830635801
0.92,1.5084321939586913,2.050854204910278
0.94,1.2892911308835762,1.879453876822437
0.96,1.2540995604102256,1.907944418625648
0.98,1.237422824828349,1.86087617258222
1.0,1.4223016829747148,1.9377429944439508
