Tolerance,TrainingError,ValidationError
0.1,0.9854220927085585,1.7343942768358778
0.05,1.001399600149043,1.7219456903371748
0.025,1.003168329206471,1.8436254970851298
0.0125,1.0341376014109713,1.777411706004831
0.00625,1.016381613039577,1.7754732778422855
0.003125,1.0545367045903205,1.7316609397032658
0.0015625,1.0152068869585151,1.8139499537420625
7.8125E-4,1.0162111770467341,1.7943342139953677
3.90625E-4,1.0855647450521482,1.8762778634017403
1.953125E-4,1.0896525255139333,1.8279687405038105
9.765625E-5,1.0238189859333184,1.7036023060305334
4.8828125E-5,1.006275405714513,1.7410765654494504
2.44140625E-5,1.0187785934373865,1.8283970475468427
1.220703125E-5,1.0159041933918835,1.772874518346927
