RbfCount,TrainingError,ValidationError
2,1.868983763598356,2.2806144256439715
3,1.5182186438825103,2.0085355400230793
4,1.1556725983057676,1.7185803998091744
5,1.0078550794060686,1.7703930289357852
6,0.8969586395419481,1.654129371092026
7,0.77243295301209,1.6306949289803774
8,0.7185957005300265,1.6470640683317643
9,0.665435289729471,1.6475027690522992
10,0.6096135855679626,1.577706553090745
11,0.5674126023616107,1.5663512237867723
12,0.53350594657653,1.5704738820958783
13,0.5073000738783393,1.5376319283450233
14,0.48059283568739425,1.5364317534895673
15,0.4606502435935466,1.5294303373550655
16,0.43537554310305115,1.4972915661399717
20,0.3672367405260843,1.5123930648833057
