ProportionOfData,TrainingError,ValidationError
0.02,5.338839528,5.386772626
0.04,2.219883623,3.536845397
0.06,3.209489396,4.046425731
0.08,3.315562083,3.765778009
0.1,3.536254643,4.326908216
0.12,2.439421466,3.401690965
0.14,2.792656253,4.285895198
0.16,2.35320142,3.392854042
0.18,2.144855613,2.884974198
0.2,2.377016626,3.802967826
0.22,2.31929346,3.046316854
0.24,2.26480722,3.219246209
0.26,2.187207537,2.899724281
0.28,2.089353984,3.33851297
0.3,2.339572955,3.09748285
0.32,2.092770494,2.916698216
0.34,2.039695065,3.219195809
0.36,1.820179665,2.638011724
0.38,2.257184089,2.973815443
0.4,1.849607881,2.734252369
0.42,1.69266907,2.588099128
0.44,1.866245206,2.700343468
0.46,2.020394157,2.871883829
0.48,1.7330787,2.435365521
0.5,1.824667325,2.671808975
0.52,2.010402681,2.757658998
0.54,1.813152728,2.474705331
0.56,1.981437802,2.762638647
0.58,1.726079867,2.639316869
0.6,1.698599145,2.570615184
0.62,1.704540329,2.671748105
0.64,1.718237048,2.578496376
0.66,1.696593335,2.34480977
0.68,1.566520945,2.417889564
0.7,1.502369411,2.221068248
0.72,1.924426678,2.485835513
0.74,2.123549381,2.778106234
0.76,1.780920134,2.393534264
0.78,1.710234421,2.486251757
0.8,1.845604222,2.405989763
0.82,1.695841337,2.326256817
0.84,1.572267624,2.156510631
0.86,1.629682522,2.23367632
0.88,1.724594433,2.34732889
0.9,1.660199797,2.236219762
0.92,1.615186107,2.226825968
0.94,1.610486803,2.347501263
0.96,1.651920916,2.242820948
0.98,1.567646354,2.094755149
1,1.653133955,2.308040076
