ProportionOfData,TrainingError,ValidationError
0.02,2.840581955922865,3.7868598484848484
0.04,2.874627871947677,4.665947420634921
0.06,2.440230402487069,3.217484516582955
0.08,2.1724209613412087,2.6604645206215096
0.1,2.819662550360989,3.567652196067034
0.12,2.47695604185972,2.816778214533769
0.14,1.6787095489560326,2.6971271634534304
0.16,2.144765481556633,2.9886450245677914
0.18,1.6043038310218496,2.519506515169414
0.2,1.4269519832337134,2.3512169733032633
0.22,1.853425483996171,2.29219981749379
0.24,1.8689695071583494,2.062641663215118
0.26,1.6753186528985948,2.11748638902621
0.28,1.7558581064479604,2.402280783859147
0.3,2.260060951387801,2.6657087371592256
0.32,2.153817384656743,2.7295869595598
0.34,1.7444677571460752,2.3921828604124564
0.36,1.985216540584246,2.3990604022695856
0.38,1.6420558777584795,2.5558311994426637
0.4,1.9702070410375654,2.7642348365705494
0.42,1.5025203778953469,2.2441004196824017
0.44,1.9198921016664066,2.5353947744727425
0.46,1.8607533030052883,2.584295939808152
0.48,1.26934105495336,1.700513321446551
0.5,1.9467179262687386,2.406173104996413
0.52,1.6345658919716388,2.146194051783733
0.54,1.686760809084503,2.066451399693063
0.56,1.6145939333858133,2.2039741991762116
0.58,1.659879484447853,2.0925837573926613
0.6,1.5022258103152306,1.9936381016241975
0.62,1.543262643177534,2.1426101051811024
0.64,1.5037157155623497,1.9880737119048284
0.66,1.6146655409550021,2.384804606971698
0.68,1.5504371353599007,1.934019896188618
0.7,1.432858646830613,1.8915855320584596
0.72,1.568896655342012,2.100913225832742
0.74,1.8858216888387949,2.303718181804611
0.76,1.410639959310615,1.9107265862807365
0.78,1.4952442114558906,1.9369911303052416
0.8,1.4230460020838982,1.8280563142798834
0.82,1.5766220606382468,1.9929640816852325
0.84,1.4580445588277773,1.8851302241750898
0.86,1.216096559736704,1.7879890201602469
0.88,1.528167587185105,2.0791248121373265
0.9,1.3524665042449977,1.812995916065286
0.92,1.3400443175651324,1.828800178015796
0.94,1.4783051631571429,1.951636590605066
0.96,1.5249417080997063,2.065896057694885
0.98,1.444150347391048,2.003774497629688
1.0,1.6653527422564833,2.079971908513407
