InstanceIndex,Output,Classification
0.0,0.0,1
1.0,0.0,1
2.0,0.0,1
3.0,0.0,1
4.0,0.0,1
5.0,0.0,1
6.0,0.0,1
7.0,0.0,1
8.0,0.0,1
9.0,0.0,1
10.0,0.0,1
11.0,0.0,1
12.0,0.0,1
13.0,0.0,1
14.0,0.0,1
15.0,0.0,1
16.0,0.0,1
17.0,0.0,1
18.0,0.0,1
19.0,0.0,1
20.0,0.0,1
21.0,0.0,1
22.0,0.0,1
23.0,0.0,1
24.0,0.0,1
25.0,0.0,1
26.0,0.0,1
27.0,0.0,1
28.0,0.0,1
29.0,0.0,1
30.0,0.0,1
31.0,0.0,1
32.0,0.0,1
33.0,0.0,1
34.0,0.0,1
35.0,0.0,1
36.0,0.0,1
37.0,0.0,1
38.0,0.0,1
39.0,0.0,1
40.0,0.0,1
41.0,0.0,1
42.0,0.0,1
43.0,0.0,1
44.0,0.0,1
45.0,0.0,1
46.0,0.0,1
47.0,0.0,1
48.0,0.0,1
49.0,0.0,1
50.0,1.0,2
51.0,1.0,0
52.0,1.0,2
53.0,1.0,0
54.0,1.0,0
55.0,1.0,0
56.0,1.0,0
57.0,1.0,0
58.0,1.0,0
59.0,1.0,0
60.0,1.0,0
61.0,1.0,0
62.0,1.0,0
63.0,1.0,0
64.0,1.0,0
65.0,1.0,0
66.0,1.0,0
67.0,1.0,0
68.0,1.0,0
69.0,1.0,0
70.0,1.0,0
71.0,1.0,0
72.0,1.0,0
73.0,1.0,0
74.0,1.0,0
75.0,1.0,0
76.0,1.0,0
77.0,1.0,2
78.0,1.0,0
79.0,1.0,0
80.0,1.0,0
81.0,1.0,0
82.0,1.0,0
83.0,1.0,0
84.0,1.0,0
85.0,1.0,0
86.0,1.0,0
87.0,1.0,0
88.0,1.0,0
89.0,1.0,0
90.0,1.0,0
91.0,1.0,0
92.0,1.0,0
93.0,1.0,0
94.0,1.0,0
95.0,1.0,0
96.0,1.0,0
97.0,1.0,0
98.0,1.0,0
99.0,1.0,0
100.0,2.0,2
101.0,2.0,0
102.0,2.0,2
103.0,2.0,2
104.0,2.0,2
105.0,2.0,2
106.0,2.0,0
107.0,2.0,2
108.0,2.0,2
109.0,2.0,2
110.0,2.0,2
111.0,2.0,2
112.0,2.0,2
113.0,2.0,0
114.0,2.0,2
115.0,2.0,2
116.0,2.0,2
117.0,2.0,2
118.0,2.0,2
119.0,2.0,0
120.0,2.0,2
121.0,2.0,0
122.0,2.0,2
123.0,2.0,0
124.0,2.0,2
125.0,2.0,2
126.0,2.0,0
127.0,2.0,0
128.0,2.0,2
129.0,2.0,2
130.0,2.0,2
131.0,2.0,2
132.0,2.0,2
133.0,2.0,0
134.0,2.0,0
135.0,2.0,2
136.0,2.0,2
137.0,2.0,2
138.0,2.0,0
139.0,2.0,2
140.0,2.0,2
141.0,2.0,2
142.0,2.0,0
143.0,2.0,2
144.0,2.0,2
145.0,2.0,2
146.0,2.0,0
147.0,2.0,2
148.0,2.0,2
149.0,2.0,0
