InstanceIndex,Output,Classification
0,26.0,1
1,20.8,0
2,21.6,0
3,28.0,0
4,28.0,1
5,27.6,1
6,27.6,1
7,26.0,1
8,34.20000076293945,0
9,34.20000076293945,1
10,27.399999618530273,1
11,26.0,1
12,32.54999923706055,0
13,18.8,0
14,29.5,1
15,27.8,0
16,26.0,1
17,31.399999618530273,0
18,26.0,1
19,28.0,1
20,25.2,0
21,27.8,1
22,26.2,1
23,27.8,1
24,34.20000076293945,0
25,27.8,1
26,27.6,1
27,32.650001525878906,0
28,25.209999084472656,1
29,23.75,1
30,32.900001525878906,1
31,33.400001525878906,0
32,27.0,1
33,22.000999450683594,1
34,26.0,1
35,26.2,1
36,28.299999237060547,1
37,27.6,0
38,36.599998474121094,0
39,30.350000381469727,0
40,27.8,1
41,27.8,1
42,26.0,1
43,18.100000381469727,1
44,26.0,1
45,26.0,1
46,28.0,1
47,20.2,0
48,26.0,0
49,26.2,1
50,28.450000762939453,1
51,16.8,0
52,26.0,1
53,22.75,1
54,28.450000762939453,1
55,30.350000381469727,1
56,26.0,1
57,26.0,1
58,19.100000381469727,1
59,26.0,1
60,31.649999618530273,0
61,19.200000762939453,1
62,27.6,1
63,27.8,1
64,34.150001525878906,0
65,16.8,0
66,27.8,1
67,29.899999618530273,1
68,28.0,1
69,19.850000381469727,1
70,26.600000381469727,1
71,27.399999618530273,1
72,31.399999618530273,0
73,26.2,0
74,31.399999618530273,0
75,27.8,1
76,31.399999618530273,0
77,27.6,1
78,25.2,1
79,28.299999237060547,1
80,26.0,1
81,28.0,1
82,32.900001525878906,0
83,28.0,1
84,22.0,1
85,19.100000381469727,1
86,32.54999923706055,0
87,27.6,1
88,32.900001525878906,0
89,32.900001525878906,0
90,16.8,0
91,28.0,0
92,19.850000381469727,1
93,28.0,1
94,27.8,1
95,25.2,0
96,32.54999923706055,0
97,34.599998474121094,1
98,34.599998474121094,1
99,26.0,0
100,27.8,1
101,28.0,1
102,25.2,0
103,23.5,1
104,23.8,0
105,28.0,0
106,19.200000762939453,1
107,26.0,1
108,27.8,1
109,26.600000381469727,1
110,26.0,1
111,27.0,1
112,29.500099182128906,1
113,27.8,1
114,31.649999618530273,0
115,30.350000381469727,1
116,28.0,1
117,27.4,1
118,28.0,1
119,27.6,1
120,19.100000381469727,1
121,27.0,1
122,23.5,1
